Periodo;Item;DG;Tipo;Codigo;Cuenta;Contenido;Fecha;FechaR;FechaA;Descripcion;Comentario;Imagen;X;ID
^.^;^998^;^G^;^.^;^01^;^DATOS GENERALES^;^.^;^May 13 2024 12:00AM^;^May 13 2024 12:00AM^;^May 13 2024 12:00AM^;^.^;^.^;^datos_generales^;^.^;1
^.^;^998^;^D^;^T^;^01.01^;^APELLIDOS^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;2
^.^;^998^;^D^;^T^;^01.02^;^NOMBRES^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;3
^.^;^998^;^D^;^T^;^01.03^;^TELEFONO^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;4
^.^;^998^;^D^;^T^;^01.04^;^CEDULA^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;5
^.^;^998^;^G^;^.^;^01.05^;^GENERO^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;6
^.^;^998^;^D^;^B^;^01.05.01^;^MASCULINO^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;7
^.^;^998^;^D^;^B^;^01.05.02^;^FEMENINO^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;8
^.^;^998^;^D^;^B^;^01.05.03^;^OTROS^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;9
^.^;^998^;^D^;^D^;^01.06^;^FECHA DE NACIMIENTO^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;10
^.^;^998^;^D^;^N^;^01.07^;^EDAD^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;11
^.^;^998^;^G^;^.^;^01.08^;^CIUDADANIA^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;12
^.^;^998^;^D^;^B^;^01.08.01^;^ECUATORIANA^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;13
^.^;^998^;^D^;^B^;^01.08.02^;^COLOMBIANA^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;14
^.^;^998^;^D^;^B^;^01.08.03^;^VENEZOLANA^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;15
^.^;^998^;^D^;^B^;^01.08.04^;^PERUANA^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;16
^.^;^998^;^D^;^B^;^01.08.05^;^ESPAÑOLA^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;17
^.^;^998^;^D^;^B^;^01.08.06^;^BOLIVIANA^;^.^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^May 23 2024 12:00AM^;^.^;^.^;^.^;^.^;18
