TC;CodBod;Bodega;Item;Periodo;X;Nomenclatura;ID
^I^;^01^;^BODEGA PRINCIPAL^;^998^;^.^;^.^;^.^;1
^I^;^01.02^;^espacion 2^;^998^;^.^;^.^;^.^;2
^I^;^01.03^;^espacion 2^;^998^;^.^;^.^;^.^;3
^N^;^02^;^BODEGA SECUNDARIA^;^998^;^.^;^.^;^.^;4
^N^;^03^;^BODEGA AUXILIAR^;^998^;^.^;^.^;^.^;5
^N^;^01.01^;^Area de almacenamiento^;^998^;^.^;^.^;^.^;6
^N^;^01^;^Bodega UNO^;^998^;^.^;^.^;^;^;7
^N^;^02^;^BODEGA DOS^;^998^;^.^;^.^;^.^;8
^N^;^03^;^BODEga tres^;^998^;^.^;^.^;^.^;9
^N^;^B01^;^BODEGA 1^;^998^;^.^;^.^;^B01^;10
^N^;^B01.G01^;^GALPON 1^;^998^;^.^;^.^;^G01^;11
^N^;^B01.G01.C01^;^CIBU^;^998^;^.^;^.^;^C01^;12
^N^;^B01.G01.C01.A01^;^Almacenamiento de Secos^;^998^;^.^;^.^;^A01^;13
^N^;^B01.G01.C01.R01^;^Unidad de Refrigeracion # 01^;^998^;^.^;^.^;^R01^;14
^N^;^B01.G01.Z01^;^ZONA UNICA 1^;^998^;^.^;^.^;^Z01^;15
^N^;^B01.G01.Z01.Z01^;^Zona Unica^;^998^;^.^;^.^;^Z01^;16
^N^;^B02^;^BODEGA 2^;^998^;^.^;^.^;^B02^;17
^N^;^B02.E01^;^EXTERIOR 01^;^998^;^.^;^.^;^E01^;18
^N^;^B02.E01.A02^;^AVERIA Y DESPERDICIO^;^998^;^.^;^.^;^A02^;19
^N^;^B02.E01.A02.Z01^;^Zona Unica 1^;^998^;^.^;^.^;^Z01^;20
^N^;^B02.E01.C03^;^CONSUMO ANIMAL^;^998^;^.^;^.^;^C03^;21
^N^;^B02.E01.C03.Z01^;^Zona Unica 1^;^998^;^.^;^.^;^Z01^;22
^N^;^B02.E01.L06^;^LIMPIEZA Y ASEO^;^998^;^.^;^.^;^L06^;23
^N^;^B02.E01.L06.R01^;^Rack # 1^;^998^;^.^;^.^;^R01^;24
^N^;^B02.E01.L06.R01.A01^;^Rack # 1 A01^;^998^;^.^;^.^;^R01.A01^;25
^N^;^B02.E01.L06.R01.A02^;^Rack # 1 A02^;^998^;^.^;^.^;^R01.A02^;26
^N^;^B02.E01.L06.R01.A03^;^Rack # 1 A03^;^998^;^.^;^.^;^R01.A03^;27
^N^;^B02.E01.L06.R01.B01^;^Rack # 1 B01^;^998^;^.^;^.^;^R01.B01^;28
^N^;^B02.E01.L06.R01.B02^;^Rack # 1 B02^;^998^;^.^;^.^;^R01.B02^;29
^N^;^B02.E01.L06.R01.B03^;^Rack # 1 B03^;^998^;^.^;^.^;^R01.B03^;30
^N^;^B02.E01.L06.R01.C01^;^Rack # 1 C01^;^998^;^.^;^.^;^R01.C01^;31
^N^;^B02.E01.L06.R01.C02^;^Rack # 1 C02^;^998^;^.^;^.^;^R01.C02^;32
^N^;^B02.E01.L06.R01.C03^;^Rack # 1 C03^;^998^;^.^;^.^;^R01.C03^;33
^N^;^B02.E01.N05^;^NO ALIMENTO^;^998^;^.^;^.^;^N05^;34
^N^;^B02.E01.N05.Z01^;^Zona Unica 1^;^998^;^.^;^.^;^Z01^;35
^N^;^B02.E01.R01^;^RECICLAJE^;^998^;^.^;^.^;^R01^;36
