TP;Codigo_C;Corresponsal;Telefono;FAX;Comision;Comision1;Sinonimo;Cta_CxCxP;Cta_Comision;Desde0;Desde1;Desde2;Desde3;Desde4;Desde5;Desde6;Desde7;Desde8;Desde9;Desde10;Desde11;Desde12;Desde13;Desde14;Desde15;Hasta0;Hasta1;Hasta2;Hasta3;Hasta4;Hasta5;Hasta6;Hasta7;Hasta8;Hasta9;Hasta10;Hasta11;Hasta12;Hasta13;Hasta14;Hasta15;Item;Itemxx;Periodo;X;ID
0;^01^;^MASTER ENVIOS^;^.^;^.^;1.5;0.0;^MEU^;^0^;^0^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;1
0;^02^;^RASAM EXPRESS^;^.^;^.^;2.0;0.0;^RAS^;^0^;^0^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;2
0;^03^;^PARADISE-EXCHANGE^;^0044-171-27705241^;^0044-171-2770526^;2.0;0.0;^PAR^;^0^;^0^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;3
0;^04^;^GIROS SEGUROS-EURAMERICA^;^0044-171-2406500.^;^0044-171-2405229^;2.0;0.0;^SEG^;^0^;^0^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;4
0;^05^;^EUROPHIL^;^0034-91-4670699^;^0034-91-5276244^;1.5;0.0;^EUR^;^0^;^0^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;5
0;^06^;^GIRO EXPRESS^;^1201-8685559^;^1201-8686682^;2.0;0.0;^EXP^;^0^;^0^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;6
0;^07^;^MUNDI DOLLARS EXPRESS^;^0033-143218716^;^0033-143353557^;2.25;0.0;^MUD^;^0^;^0^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;7
0;^08^;^SERVICIO OLIVO^;^0041-12424240^;^0041-12424239^;2.0;0.0;^.^;^0^;^0^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;8
0;^09^;^ALFA Y OMEGA^;^524-66-22^;^534-26-06^;2.25;0.0;^.^;^0^;^0^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;9
0;^10^;^AMERICANA DE SERVICIOS^;^225-55059^;^225-4855^;1.5;0.0;^AME^;^0^;^0^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^.^;10
0;^06^;^GIRO EXPRESS^;^12018685559^;^12018686682^;2.0;0.0;^EXP^;^.^;^.^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^X^;11
0;^07^;^MUNDI DOLLARS EXPRESS^;^0033143218716^;^0033143353557^;2.25;0.0;^MUD^;^.^;^.^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^X^;12
0;^08^;^SERVICIO OLIVO^;^004112424240^;^004112424239^;2.0;0.0;^.^;^.^;^.^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^X^;13
0;^09^;^ALFA Y OMEGA^;^5246622^;^5342606^;2.25;0.0;^.^;^.^;^.^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^X^;14
0;^10^;^AMERICANA DE SERVICIOS^;^22555059^;^2254855^;1.5;0.0;^AME^;^.^;^.^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^X^;15
0;^03^;^PARADISEEXCHANGE^;^004417127705241^;^00441712770526^;2.0;0.0;^PAR^;^.^;^.^;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;^000^;^.^;^.^;^X^;16
