Item;Curso;Descripcion;Periodo;Paralelo;Bachiller;Especialidad;Figura_Profesional;Curso_Superior;Ciclo;Seccion;Titulo;Tipo_Titulo;Codigo_Titulo;X;Id_Curso;ID
^000^;^3.03.BA^;^TERCERO B.G.U. OPCI”N CIENCIAS "A"^;^.^;^"A"^;^TERCER A—O DE BACHILLERATO GENERAL UNIFICADO^;^OPCION; CIENCIAS^;^.^;^CURSO INMEDIATO SUPERIOR^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^.^;^.^;^.^;0;1
^000^;^3.01.BC^;^PRIMERO B.G.U.  "C"^;^.^;^"C"^;^PRIMER A—O BACHILLERATO GENERAL UNIFICADO^;^.^;^.^;^SEGUNDO A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^.^;^.^;^.^;0;2
^000^;^1.02.BC^;^SEGUNDO GRADO DE EGB "C"^;^.^;^"C"^;^SEGUNDO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^TERCER GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;3
^000^;^3.02.BD^;^SEGUNDO B.G.U. OPCI”N T…CNICO "D"^;^.^;^"D"^;^SEGUNDO A—O BACHILLERATO GENERAL UNIFICADO^;^OPCI”N T…CNICO POLIVALENTE^;^CONTABILIDAD Y ADMINISTRACION^;^TERCER A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^BACHILLERATO GENERAL UNIFICADO^;^000000^;^.^;0;4
^000^;^1.05.BA^;^QUINTO GRADO DE EGB "A"^;^.^;^"A"^;^QUINTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^SEXTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;5
^000^;^1.05.BB^;^QUINTO GRADO DE EGB "B"^;^.^;^"B"^;^QUINTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^SEXTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;6
^000^;^1.06.BB^;^SEXTO GRADO DE EGB "B"^;^.^;^"B"^;^SEXTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^SEPTIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;7
^000^;^1.06.BC^;^SEXTO GRADO DE EGB "C"^;^.^;^"C"^;^SEXTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^SEPTIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;8
^000^;^1.07.BA^;^S…PTIMO GRADO DE EGB "A"^;^.^;^"A"^;^SEPTIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^OCTAVO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;9
^000^;^1.07.BB^;^S…PTIMO GRADO DE EGB "B"^;^.^;^"B"^;^SEPTIMO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^OCTAVO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;10
^000^;^2.08.BA^;^OCTAVO A—O DE EDUCACI”N B¡SICA "A"^;^.^;^"A"^;^OCTAVO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^NOVENO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;11
^000^;^2.08.BC^;^OCTAVO A—O DE EDUCACI”N B¡SICA "C"^;^.^;^"C"^;^OCTAVO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^NOVENO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;12
^000^;^2.08.BD^;^OCTAVO A—O DE EDUCACI”N B¡SICA "D"^;^.^;^"D"^;^OCTAVO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^NOVENO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;13
^000^;^3.02.BA^;^SEGUNDO B.G.U. OPCI”N CIENCIAS "A"^;^.^;^"A"^;^SEGUNDO A—O BACHILLERATO GENERAL UNIFICADO^;^OPCI”N CIENCIAS^;^.^;^TERCER A—O BACHILLERATO GENERAL UNIFICADO^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^.^;^000000^;^.^;0;14
^000^;^1.02.BA^;^SEGUNDO GRADO DE EGB "A"^;^.^;^"A"^;^SEGUNDO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^TERCER GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO DIVERSIFICADO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;15
^000^;^1.04.BA^;^CUARTO GRADO DE EGB "A"^;^.^;^"A"^;^CUARTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^.^;^.^;^QUINTO GRADO DE EDUCACI”N GENERAL B¡SICA^;^CICLO B¡SICO^;^MATUTINA^;^.^;^.^;^000000^;^X^;0;16
