Item;Desde;Hasta;Valor;X;ID
^000^;0;0;0.14999999999999999;^.^;1
^000^;0;5;5.0000000000000003E-2;^.^;2
^000^;5;10;0.10000000000000001;^.^;3
^000^;10;15;0.14999999999999999;^.^;4
^000^;15;20;0.20000000000000001;^.^;5
^000^;20;25;0.25;^.^;6
^000^;25;30;0.29999999999999999;^.^;7
^000^;30;35;0.34999999999999998;^.^;8
^000^;35;40;0.40000000000000002;^.^;9
^000^;40;45;0.45000000000000001;^.^;10
^000^;45;50;0.5;^.^;11
^000^;50;55;0.55000000000000004;^.^;12
^000^;55;60;0.59999999999999998;^.^;13
^998^;16;20;0.10000000000000001;^.^;14
^998^;21;30;0.5;^.^;15
^998^;31;255;1.0;^.^;16
