Item;Formulario;Pos;Codigo;Valor;Formula;Detalle;PosX;PosY;X;ID
^000^;^103^;1;^101^;^.^;^.^;^MES^;13.9;3.0;^.^;1
^000^;^106^;1;^101^;^.^;^.^;^MES^;18.700001;2.4000001;^.^;2
^000^;^06A^;1;^101^;^.^;^.^;^MES^;19.0;2.8;^.^;3
^000^;^104^;1;^101^;^.^;^.^;^MES^;8.0;3.6300001;^.^;4
^000^;^103^;2;^102^;^.^;^.^;^AÑO^;16.5;3.0;^.^;5
^000^;^106^;2;^102^;^.^;^.^;^AÑO^;22.1;2.4000001;^.^;6
^000^;^106^;2;^102^;^.^;^.^;^ANO^;22.1;2.4000001;^X^;7
^000^;^06A^;2;^102^;^.^;^.^;^ANO^;22.200001;2.8;^X^;8
^000^;^104^;2;^102^;^.^;^.^;^ANO^;22.1;3.6300001;^X^;9
^000^;^103^;2;^102^;^.^;^.^;^ANO^;16.5;3.0;^X^;10
^000^;^101^;1;^102^;^.^;^.^;^ANO^;11.7;2.5;^X^;11
^000^;^102^;1;^102^;^.^;^.^;^ANO^;16.0;2.5;^X^;12
^000^;^06A^;2;^102^;^.^;^.^;^AÑO^;22.200001;2.8;^.^;13
^000^;^101^;1;^102^;^.^;^.^;^AÑO^;11.7;2.5;^.^;14
^000^;^102^;1;^102^;^.^;^.^;^AÑO^;16.0;2.5;^.^;15
^000^;^104^;2;^102^;^.^;^.^;^AÑO^;22.1;3.6300001;^.^;16
^000^;^106^;2;^102^;^.^;^.^;^AÐO^;22.1;2.4000001;^X^;17
^000^;^06A^;2;^102^;^.^;^.^;^AÐO^;22.200001;2.8;^X^;18
^000^;^104^;2;^102^;^.^;^.^;^AÐO^;22.1;3.6300001;^X^;19
^000^;^103^;2;^102^;^.^;^.^;^AÐO^;16.5;3.0;^X^;20
^000^;^101^;1;^102^;^.^;^.^;^AÐO^;11.7;2.5;^X^;21
^000^;^102^;1;^102^;^.^;^.^;^AÐO^;16.0;2.5;^X^;22
^000^;^104^;3;^103^;^.^;^.^;^SEMESTRES^;12.8;4.5300002;^.^;23
^000^;^103^;3;^104^;^.^;^.^;^NO FORMULARIO RECTIFICA^;20.5;3.0;^.^;24
^000^;^101^;2;^104^;^.^;^.^;^No FORMULARIO QUE RECTIFICA^;16.5;2.5;^.^;25
^000^;^102^;2;^104^;^.^;^.^;^No DE FORMULARIO QUE SE RECTIFICA^;19.799999;2.5;^.^;26
^000^;^104^;4;^104^;^.^;^.^;^No DE FORMULARIO QUE SE RECTIFICA^;21.200001;4.9200001;^.^;27
^000^;^101^;3;^106^;^.^;^.^;^No EMPLEADOS BAJO NOMINA^;23.299999;2.0999999;^X^;28
^000^;^101^;3;^106^;^.^;^.^;^No EMPLEADOS BAJO NÓMINA^;23.299999;2.0999999;^.^;29
^000^;^102^;3;^106^;^.^;^.^;^No DE EMPLEADOS BAJO NOMINA^;21.9;3.0;^.^;30
^000^;^101^;3;^106^;^.^;^.^;^No EMPLEADOS BAJO NËMINA^;23.299999;2.0999999;^X^;31
^000^;^102^;4;^110^;^.^;^.^;^[] INGRESOS ATRIBUIBLES SOCEDAD CONYUGAL^;17.5;23.9;^X^;32
^000^;^102^;4;^110^;^.^;^.^;^() INGRESOS ATRIBUIBLES SOCEDAD CONYUGAL^;17.5;23.9;^.^;33
^000^;^102^;5;^111^;^.^;^.^;^NINGUNO^;21.0;23.9;^.^;34
^000^;^106^;3;^198^;^.^;^.^;^CEDULA CONTRIBUYENTE^;3.0;10.8;^.^;35
^000^;^103^;4;^198^;^.^;^.^;^CEDULA CONTRIBUYENTE^;2.3;22.0;^.^;36
^000^;^06A^;3;^198^;^.^;^.^;^CEDULA CONTRIBUYENTE^;3.0;11.6;^.^;37
^000^;^101^;4;^198^;^.^;^.^;^NOMBRE^;1.6;51.900002;^.^;38
^000^;^102^;6;^198^;^.^;^.^;^C.I. No^;3.0999999;35.5;^.^;39
^000^;^104^;5;^198^;^.^;^.^;^C.I. No^;2.0;28.629999;^.^;40
^000^;^106^;4;^199^;^.^;^.^;^RUC CONTADOR^;8.6000004;10.8;^.^;41
^000^;^103^;5;^199^;^.^;^.^;^RUC CONTADOR^;8.5;22.0;^.^;42
^000^;^06A^;4;^199^;^.^;^.^;^RUC CONTADOR^;8.3999996;11.6;^.^;43
^000^;^101^;5;^199^;^.^;^.^;^NOMBRE^;8.6000004;51.900002;^.^;44
^000^;^102^;7;^199^;^.^;^.^;^RUC No^;8.3999996;35.5;^.^;45
^000^;^104^;6;^199^;^.^;^.^;^RUC No^;8.0;28.629999;^.^;46
^000^;^106^;5;^201^;^.^;^.^;^RUC CI PASAPORTE^;2.3;4.1999998;^.^;47
^000^;^103^;6;^201^;^.^;^.^;^RUC^;2.5;4.5999999;^.^;48
^000^;^06A^;5;^201^;^.^;^.^;^RUC CI PASAPORTE^;3.0;4.1999998;^.^;49
^000^;^101^;6;^201^;^.^;^.^;^RUC^;1.6;2.9000001;^.^;50
^000^;^102^;8;^201^;^.^;^.^;^RUC o C.I^;3.0999999;4.0;^.^;51
^000^;^104^;7;^201^;^.^;^.^;^RUC^;1.8;6.1300001;^.^;52
^000^;^106^;6;^202^;^.^;^.^;^RAZON SOCIAL O DENOMINACION^;11.2;4.1999998;^.^;53
^000^;^103^;7;^202^;^.^;^.^;^RAZON SOCIAL^;10.3;4.5999999;^.^;54
^000^;^06A^;6;^202^;^.^;^.^;^RAZON SOCIAL O DENOMINACION^;11.0;4.1999998;^.^;55
^000^;^101^;7;^202^;^.^;^.^;^RAZON SOCIAL O DENOMINACION^;10.0;2.9000001;^.^;56
^000^;^102^;9;^202^;^.^;^.^;^RAZON SOCIAL O DENOMINACION O APELLIDOS Y NOMBRES COMPLETOS^;12.0;4.0;^.^;57
^000^;^104^;8;^202^;^.^;^.^;^RAZON SOCIAL DENOMINACION O APELLIDOS Y NOMBRES COMPLETOS^;9.0;6.1300001;^.^;58
^000^;^106^;7;^203^;^.^;^.^;^CIUDAD^;2.3;5.0;^.^;59
^000^;^06A^;7;^203^;^.^;^.^;^CIUDAD^;3.0;5.0;^.^;60
^000^;^101^;8;^203^;^.^;^V309+V308^;^EXPEDIENTE^;22.5;2.9000001;^.^;61
^000^;^102^;10;^203^;^.^;^.^;^CIUDAD^;2.2;4.4000001;^.^;62
^000^;^106^;8;^204^;^.^;^.^;^CALLE PRINCIPAL^;11.2;5.0;^.^;63
^000^;^06A^;8;^204^;^.^;^.^;^CALLE PRINCIPAL^;11.0;5.0;^.^;64
^000^;^102^;11;^204^;^.^;^.^;^CALLE PRINCIPAL^;9.8000002;4.4000001;^.^;65
^000^;^106^;9;^205^;^.^;^.^;^NUMERO^;19.700001;5.0;^.^;66
^000^;^06A^;9;^205^;^.^;^.^;^NUMERO^;20.5;5.0;^.^;67
^000^;^102^;12;^205^;^.^;^.^;^NUMERO^;22.6;4.4000001;^.^;68
^000^;^106^;10;^301^;^.^;^.^;^COD CONCEPTO^;2.3;7.0;^.^;69
^000^;^103^;8;^301^;^.^;^.^;^POR RELACION DE DEPENDENCIA^;16.4;5.8000002;^.^;70
^000^;^06A^;10;^301^;^.^;^.^;^COD CONCEPTO^;1.1;7.0;^.^;71
^000^;^102^;13;^301^;^.^;^.^;^ACTIVO CORRIENTE^;10.4;6.0999999;^.^;72
^000^;^104^;9;^301^;^.^;^.^;^VENTAS CON TARIFA 12%+ EXPORTACIONES RESPECTO AL TOTAL^;10.4;7.02;^.^;73
^000^;^106^;11;^302^;^.^;^.^;^DENOMINACION^;7.1999998;7.0;^.^;74
^000^;^06A^;11;^302^;^.^;^.^;^DENOMINACION^;6.0;7.0;^.^;75
^000^;^102^;14;^302^;^.^;^.^;^ACTIVO FIJO^;10.4;6.5;^.^;76
^000^;^103^;9;^303^;^.^;^.^;^HONORARIOS Y OTROS PAGOS QUE SE REALICEN BAJO CUALQUIER CONCEPTO A PERSONAS NATURALES^;16.4;6.3000002;^.^;77
^000^;^06A^;12;^303^;^.^;^.^;^COD. DOCUMENTO^;21.0;7.0;^.^;78
^000^;^102^;15;^303^;^.^;^.^;^ACTIVO DIFERIDO^;10.4;6.9000001;^.^;79
^000^;^104^;10;^303^;^.^;^.^;^SALDO DEL CREDITO TRIBUTARIO DEL MES ANTERIIOR^;10.4;7.4699998;^.^;80
^000^;^06A^;13;^304^;^.^;^.^;^No DOCUMENTO^;1.1;7.8000002;^.^;81
