Periodo;TL;Codigo;Concepto;Fact;CxC;Cta_Venta;Logo_Factura;Largo;Ancho;Item;Individual;Espacios;Pos_Factura;Fact_Pag;Pos_Y_Fact;Serie;Autorizacion;Vencimiento;Fecha;Secuencial;ItemsxFA;Grupo_I;Grupo_F;CxC_Anterior;Imp_Mes;Nombre_Establecimiento;Direccion_Establecimiento;Telefono_Estab;Logo_Tipo_Estab;Tipo_Impresion;X;Email_Establecimiento;RUC_Establecimiento;Placa_Vehiculo;Cta_Establecimiento;Picture;ID
^.^;1;^12345678^;^NO PROCESABLE1^;^FA^;^0^;^0^;^.^;0.0;0.0;^998^;0;0.0;0.0;0;0.0;^000000^;^000000000^;^Jan  1 2024 12:00AM^;^Jan  1 2022 12:00AM^;0;0;^.^;^.^;^0^;1;^.^;^.^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;1
^.^;1;^17222145^;^javo^;^LC^;^1.1.04.01.07^;^0^;^.^;0.0;0.0;^998^;0;1.0;1.0;0;1.0;^009009^;^1722214507^;^Dec 31 2023 12:00AM^;^Jan  1 2022 12:00AM^;1;10;^.^;^.^;^1.1.04.01.07^;1;^JAV^;^.^;^000000000^;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;2
^.^;1;^1722214507^;^jaier^;^NV^;^.1.04.01.07.^;^0^;^^;0.0;0.0;^998^;0;1.0;1.0;0;10.0;^008008^;^1722214508^;^Dec 31 2024 12:00AM^;^Jan  1 2023 12:00AM^;1;100;^.^;^.^;^.1.04.01.07.^;1;^ddd^;^.^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;3
^.^;1;^CXC^;^CXC CLIENTES^;^FA^;^1.1.04.01.07^;^.^;^FactMult^;9.3000002;10.0;^000^;0;0.0;0.0;0;0.0;^001001^;^0123456789^;^Dec 31 2010 12:00AM^;^Nov 12 2009 12:00AM^;0;0;^.^;^.^;^1.1.04.01.07^;0;^.^;^.^;^.^;^.^;0;^X^;^.^;^.^;^.^;^.^;^.^;4
^.^;1;^CXC^;^CXC CLIENTES^;^FA^;^1.1.04.01.03.001^;^0^;^.^;0.0;0.0;^998^;0;0.0;0.0;0;0.0;^001001^;^1127782029^;^Jan  1 2024 12:00AM^;^Jan  1 2022 12:00AM^;123;0;^.^;^.^;^1.1.02.05.02.01.01^;0;^.^;^.^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;5
^.^;1;^CXC50001^;^GERENCIA^;^FA^;^1.1.04.01.03.001^;^0^;^.^;0.0;0.0;^998^;0;0.0;0.0;0;0.0;^001001^;^1127782029^;^Jan  1 2024 12:00AM^;^Jan  1 2022 12:00AM^;1;0;^.^;^.^;^1.1.04.01.03.001^;0;^.^;^.^;^.^;^.^;0;^X^;^.^;^.^;^.^;^.^;^.^;6
^.^;0;^CXCDO^;^CXC NOTA DE DONACION^;^DO^;^1.1.03.01.02.003^;^.^;^NINGUNO^;15.0;19.0;^998^;0;0.0;0.0;0;0.0;^001003^;^0123456789^;^Dec 31 2023 12:00AM^;^Jan  1 2022 12:00AM^;0;0;^.^;^.^;^1.1.03.01.02.003^;0;^.^;^.^;^.^;^.^;0;^X^;^.^;^.^;^.^;^.^;^.^;7
^.^;1;^CXCNDO^;^Nota de Donacion Organizaciones^;^NDO^;^1.1.02.01.01^;^4.1.01.01.02^;^NINGUNO^;15.0;19.0;^998^;0;0.0;0.0;0;0.0;^999998^;^1791921429^;^Dec  1 2024 12:00AM^;^Dec  1 2023 12:00AM^;1;0;^.^;^.^;^1.1.02.01.01^;0;^.^;^.^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^ndo^;8
^.^;1;^CXCNDU^;^Nota de Donacion Usuario^;^NDU^;^1.1.02.01.01^;^4.1.01.01.02^;^NINGUNO^;15.0;19.0;^998^;0;0.0;0.0;0;0.0;^999997^;^1791921429^;^Dec  1 2024 12:00AM^;^Dec  1 2023 12:00AM^;1;0;^.^;^.^;^1.1.02.01.01^;0;^.^;^.^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^ndu^;9
^.^;1;^FA001001^;^FACTURACION fa^;^FA^;^1.1.10.8^;^^;^NINGUNO^;9.3999996;10.4;^998^;0;0.0;10.5;1;0.02;^001001^;^1127782029^;^Jan  1 2024 12:00AM^;^Jan  1 2022 12:00AM^;13601;12;^.^;^.^;^1.1.10.8^;0;^.^;^.^;^.^;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;10
