CodMat;Materia;Item;C;P;I;Periodo;Orden;SDiv;SinImprimir;C2;X;ID
^084^;^Communication Skills^;^000^;0;1;1;^.^;0;0;0;0;^.^;1
^085^;^History^;^000^;0;1;1;^.^;0;0;0;0;^.^;2
^086^;^Investigación y Comunicación de la Ciencia y Tecnología^;^000^;0;1;1;^.^;0;0;0;0;^.^;3
^087^;^Matemática Superior^;^000^;0;1;1;^.^;0;0;0;0;^.^;4
^088^;^Física Superior^;^000^;0;1;1;^.^;0;0;0;0;^.^;5
^089^;^Comunicación; Ciencia y Tecnología^;^000^;0;1;1;^.^;0;0;0;0;^.^;6
^090^;^Biología Superior^;^000^;0;1;1;^.^;0;0;0;0;^.^;7
^091^;^Química Superior^;^000^;0;1;1;^.^;0;0;0;0;^.^;8
^092^;^Psicología^;^000^;0;1;1;^.^;0;0;0;0;^.^;9
^093^;^Anatomía^;^000^;0;1;1;^.^;0;0;0;0;^.^;10
^094^;^Productos y Servicios Financieros y de Seguros Básicos^;^000^;0;1;1;^.^;0;0;0;0;^.^;11
^095^;^Educación Física^;^000^;0;1;1;^.^;0;0;0;0;^.^;12
^096^;^Aprendiendo en Movimiento^;^000^;0;1;1;^.^;0;0;0;0;^.^;13
^097^;^Investigación^;^000^;0;1;1;^.^;0;0;0;0;^.^;14
^035^;^Formación Orientación Laboral^;^000^;0;1;1;^.^;0;0;0;0;^.^;15
^046^;^Laboratory^;^000^;0;1;1;^.^;0;0;0;0;^.^;16
^060^;^Phonics^;^000^;0;1;1;^.^;0;0;0;0;^.^;17
^062^;^Química^;^000^;0;1;1;^.^;0;0;0;0;^.^;18
^066^;^Science^;^000^;0;1;1;^.^;0;0;0;0;^.^;19
^011^;^Comunicación; Archivo de Información y Operatoria de  teclados^;^000^;0;1;1;^.^;0;0;0;0;^.^;20
^020^;^Dibujo Técnico^;^000^;0;1;1;^.^;0;0;0;0;^.^;21
^071^;^Reading/Writing^;^000^;0;1;1;^.^;0;0;0;0;^.^;22
^072^;^Historia^;^000^;0;1;1;^.^;0;0;0;0;^.^;23
^073^;^Química y Laboratorio^;^000^;0;1;1;^.^;0;0;0;0;^.^;24
^074^;^Biología y Laboratorio^;^000^;0;1;1;^.^;0;0;0;0;^.^;25
^076^;^Historia y Geografía^;^000^;0;1;1;^.^;0;0;0;0;^.^;26
^077^;^Lengua y Literatura^;^000^;0;1;1;^.^;0;0;0;0;^.^;27
^080^;^Informática Aplicada a la Educación^;^000^;0;1;1;^.^;0;0;0;0;^.^;28
^025^;^Educación Física^;^000^;0;1;1;^.^;0;0;0;0;^.^;29
^028^;^Entorno Natural y Social^;^000^;0;1;1;^.^;0;0;0;0;^.^;30
^031^;^Expresión Corporal y Natación^;^000^;0;1;1;^.^;0;1;0;0;^.^;31
^033^;^Física - Química^;^000^;0;1;1;^.^;0;0;0;0;^.^;32
^034^;^Formación Cristiana^;^000^;0;1;1;^.^;0;0;0;0;^.^;33
^037^;^Ciencias Sociales (Historia)^;^000^;0;1;1;^.^;0;0;0;0;^.^;34
^042^;^INFORMÁTICA:^;^000^;0;1;1;^.^;0;0;0;0;^.^;35
^049^;^Lengua Extranjera (Bilingüismo):^;^000^;0;1;1;^.^;0;0;0;0;^.^;36
^029^;^Estadística^;^000^;0;1;1;^.^;0;0;0;0;^.^;37
^999^;^Evaluación del Comportamiento^;^000^;0;0;1;^.^;9;0;0;0;^.^;38
^032^;^Física^;^000^;0;1;1;^.^;0;0;0;0;^.^;39
^038^;^Historia y Ciencias Sociales^;^000^;0;1;1;^.^;0;0;0;0;^.^;40
^041^;^Aplicaciones Informáticas^;^000^;0;1;1;^.^;0;0;0;0;^.^;41
^043^;^INGLÉS:^;^000^;0;1;1;^.^;0;0;0;0;^.^;42
^047^;^Language^;^000^;0;1;1;^.^;0;1;0;0;^.^;43
^048^;^Language Arts^;^000^;0;1;1;^.^;0;0;0;0;^.^;44
^051^;^Literatura General^;^000^;0;1;1;^.^;0;0;0;0;^.^;45
^052^;^Lenguaje y Comunicación^;^000^;0;1;1;^.^;0;0;0;0;^.^;46
^054^;^Música^;^000^;0;1;1;^.^;0;0;0;0;^.^;47
^055^;^Crecimiento Espiritual y Profesional^;^000^;0;1;1;^.^;0;0;0;0;^.^;48
^061^;^Producción y Servicios Financieros^;^000^;0;1;1;^.^;0;0;0;0;^.^;49
^064^;^Relaciones Lógico Matemáticas^;^000^;0;1;1;^.^;0;1;0;0;^.^;50
^065^;^RELIGIÓN:^;^000^;0;1;1;^.^;0;0;0;0;^.^;51
^067^;^Spelling^;^000^;0;1;1;^.^;0;0;0;0;^.^;52
^081^;^Dibujo Técnico Aplicado^;^000^;0;1;1;^.^;0;0;0;0;^.^;53
^001^;^Anatomía Humana 1^;^000^;0;1;1;^.^;0;0;0;0;^.^;54
^002^;^Biología^;^000^;0;1;1;^.^;0;0;0;0;^.^;55
^003^;^Business^;^000^;0;1;1;^.^;0;0;0;0;^.^;56
^004^;^Ciencias Naturales^;^000^;0;1;1;^.^;0;0;0;0;^.^;57
^005^;^Ciencias Psicofilosóficas^;^000^;0;1;1;^.^;0;0;0;0;^.^;58
^006^;^Comunicación; Archivo  y Operatoria de  teclados^;^000^;0;1;1;^.^;0;0;0;0;^.^;59
^008^;^Comprensión y Expresión oral y escrita^;^000^;0;1;1;^.^;0;1;0;0;^.^;60
^010^;^COMUNICACIÓN VERBAL Y NO VERBAL:^;^000^;0;1;1;^.^;0;0;0;0;^.^;61
^012^;^CONOCIMIENTO DEL ENTORNO INMEDIATO:^;^000^;0;0;1;^.^;0;0;0;0;^.^;62
^013^;^Contabilidad General y Tesorería^;^000^;0;1;1;^.^;0;0;0;0;^.^;63
^018^;^DESARROLLO PERSONAL:^;^000^;0;1;1;^.^;0;0;0;0;^.^;64
^019^;^Descubrimiento y comprensión del medio natural^;^000^;0;1;1;^.^;0;1;0;0;^.^;65
^023^;^Educación Artística^;^000^;0;1;1;^.^;0;0;0;0;^.^;66
^024^;^Educación en la Fe^;^000^;0;1;1;^.^;0;1;0;0;^.^;67
^082^;^OPTATIVAS:^;^000^;0;1;1;^.^;0;0;0;0;^.^;68
^.^;^Codigo sin Asignar^;^000^;0;1;1;^.^;0;0;0;0;^.^;69
^026^;^Educación para la Ciudadanía^;^000^;0;1;1;^.^;0;0;0;0;^.^;70
^027^;^Emprendimiento y Gestión^;^000^;0;1;1;^.^;0;0;0;0;^.^;71
^030^;^Estudios Sociales^;^000^;0;1;1;^.^;0;0;0;0;^.^;72
^036^;^Gestión Administrativa de Recursos Humanos^;^000^;0;1;1;^.^;0;0;0;0;^.^;73
^039^;^Identidad y Autonomía Personal^;^000^;0;1;1;^.^;0;1;0;0;^.^;74
^040^;^CLUB^;^000^;1;0;1;^.^;0;0;0;0;^.^;75
