Periodo;Item;TC;CTP;Descripcion;DM;Cta_Prestamo;Cta_Interes;Cta_Comision;Cta_Gas_Oper;Cta_Int_Ganado;Cta_Com_Ganado;Cta_Int_Efec;Cta_Com_Efec;Cta_Int_Mora;Cta_Impuesto;Cta_Vencidos;Cta_Provision;Cta_Solca;Cta_Tesoro;Cta_Otro_Imp;Cta_Cobranzas;Cta_Capital;Cta_Mora;Cta_Ganado;Cta_Interes_Mora;Cta_Reliquidacion;Interes;Interes_Reliq;Interes_Gastos_Operativos;Codigo;Dias;Cta_P_1_30;Cta_P_31_90;Cta_P_91_180;Cta_P_181_360;Cta_P_Mas_360;Cta_V_1_30;Cta_V_31_90;Cta_V_91_180;Cta_V_181_360;Cta_V_Mas_360;Sobre_Interes;Interes_Precancelacion;Cta_No_Devenga_Int;X;ID
^.^;^000^;0;^CO30^;^Cofre de Oro 30 dias^;0;^1.1.05.01.01^;^1.1.05.03.01^;^1.1.05.02.01^;^5.3.01.01^;^5.1.01.01.01^;^5.1.01.02.01^;^2.1.06.01.01^;^2.1.06.02.01^;^5.3.04.01^;^0^;^1.1.05.01.02^;^0^;^0^;^0^;^0^;^0^;^0^;^0^;^.^;^.^;^5.3.02.01^;12.5;5.0000001E-2;0.0;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^.^;1
^.^;^000^;0;^CO60^;^Cofre de Oro 60 dias^;0;^1.1.05.01.01^;^1.1.05.03.01^;^1.1.05.02.01^;^5.3.01.01^;^5.1.01.01.01^;^5.1.01.02.01^;^2.1.06.01.01^;^2.1.06.02.01^;^5.3.04.01^;^0^;^1.1.05.01.02^;^0^;^0^;^0^;^0^;^0^;^1.1.05.01.01^;^.^;^.^;^.^;^5.3.02.01^;12.5;5.0000001E-2;0.0;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^.^;2
^.^;^000^;0;^CO90^;^Cofre de Oro 90 dias^;0;^1.1.05.01.01^;^1.1.05.03.01^;^1.1.05.02.01^;^5.3.01.01^;^5.1.01.01.01^;^5.1.01.02.01^;^2.1.06.01.01^;^2.1.06.02.01^;^5.3.04.01^;^0^;^1.1.05.01.02^;^0^;^0^;^0^;^0^;^0^;^1.1.05.01.01^;^.^;^.^;^.^;^5.3.02.01^;12.5;5.0000001E-2;0.0;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^.^;3
^.^;^000^;1;^S/F^;^Prestamos Sobre Firmas^;0;^1.1.05.01.01^;^1.1.05.03.01^;^1.1.05.02.01^;^5.3.01.01^;^5.1.01.01.01^;^5.1.01.02.01^;^2.1.06.01.01^;^2.1.06.02.01^;^5.3.04.01^;^0^;^1.1.05.01.02^;^0^;^0^;^0^;^0^;^0^;^1.1.05.01.01^;^.^;^.^;^.^;^5.3.02.01^;12.5;5.0000001E-2;0.0;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^.^;4
^.^;^000^;1;^S/C^;^Sobregiro Cooperativo^;1;^1.1.05.01.01^;^1.1.05.03.01^;^1.1.05.02.01^;^5.3.01.01^;^5.1.01.01.01^;^5.1.01.02.01^;^2.1.06.01.01^;^2.1.06.02.01^;^5.3.04.01^;^0^;^1.1.05.01.02^;^0^;^0^;^0^;^0^;^0^;^1.1.05.01.01^;^.^;^.^;^.^;^5.3.02.01^;12.5;5.0000001E-2;0.0;^.^;0;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^.^;5
^.^;^000^;1;^PO04^;^Polizas a 180 dias^;1;^0^;^4.1.03.04^;^0^;^5.3.01.02^;^2.1.04.04^;^0^;^2.9.04^;^0^;^0^;^2.3.03^;^1.1.05.01.02^;^0^;^2.2.01.01^;^0^;^0^;^0^;^0^;^.^;^.^;^.^;^0^;8.0;5.0000001E-2;0.0;^.^;180;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^X^;6
^.^;^000^;1;^PO01^;^Polizas a 30 dias^;1;^0^;^4.1.03.01^;^0^;^5.3.01.02^;^2.1.04.01^;^0^;^2.9.01^;^0^;^0^;^2.3.03^;^1.1.05.01.02^;^0^;^2.2.01.01^;^0^;^0^;^0^;^0^;^.^;^.^;^.^;^0^;0.0;5.0000001E-2;0.0;^.^;30;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^X^;7
^.^;^000^;1;^PO05^;^Polizas a 360 dias^;1;^0^;^4.1.03.05^;^0^;^5.3.01.02^;^2.1.04.05^;^0^;^2.9.05^;^0^;^0^;^2.3.03^;^1.1.05.01.02^;^0^;^2.2.01.01^;^0^;^0^;^0^;^0^;^.^;^.^;^.^;^0^;9.0;5.0000001E-2;0.0;^.^;360;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^X^;8
^.^;^000^;1;^PO02^;^Polizas a 60 dias^;1;^0^;^4.1.03.02^;^0^;^5.3.01.02^;^2.1.04.02^;^0^;^2.9.02^;^0^;^0^;^2.3.03^;^1.1.05.01.02^;^0^;^2.2.01.01^;^0^;^0^;^0^;^0^;^.^;^.^;^.^;^0^;0.0;5.0000001E-2;0.0;^.^;60;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^X^;9
^.^;^000^;1;^PO03^;^Polizas a 90 dias^;1;^0^;^4.1.03.03^;^0^;^5.3.01.02^;^2.1.04.03^;^0^;^2.9.03^;^0^;^0^;^2.3.03^;^1.1.05.01.02^;^0^;^2.2.01.01^;^0^;^0^;^0^;^0^;^.^;^.^;^.^;^0^;7.0;5.0000001E-2;0.0;^.^;90;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;^.^;0;0.0;^.^;^X^;10
