Periodo;TC;Codigo_Inv;Producto;Detalle;Codigo_Barra;Unidad;Minimo;Maximo;PVP;IVA;Cta_Inventario;Cta_Costo_Venta;Cta_Ventas;Cta_Ventas_0;Cta_Venta_Anticipada;Cta_Ventas_Ant;INV;Stock_Anterior;Entradas;Salidas;Promedio;Stock_Actual;Valor_Total;Item;PX;PY;Item_Banco;Desc_Item;Valor_Corte;Ayuda;Utilidad;Valor_Compra;Gramaje;Agrupacion;Bodega;TP;Div;Receta;PVP_2;PVP_3;Codigo_IESS;Codigo_RES;Marca;TDP;Fecha;Codigo_P;Codigo_R;Factura;Vida_Util;Valor_Actual;Valor_Deprecicacion;Tipo;Ubicacion;Departamento;Cantidad;Servicio;Por_Reservas;X;Codigo_Sup;Procesado;Valor_Historico;Reg_Sanitario;Estado;PF;Consignacion;T;Codigo_Barra_K;Tipo_SubMod;Stock;Costo;Valor_Unit;Con_Kardex;Categorias;ID
^.^;^I^;^01^;^COBROS DE ESCUELA^;^.^;^.^;^0.00^;0.0;0.0;0.0;0;^0^;^0^;^0^;^.^;^0^;^.^;0;0.0;0.0;0.0;0.0;0.0;.0000;^000^;0.0;0.0;^000^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Oct  2 2014 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^X^;^01^;0;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;1
^.^;^I^;^01^;^CARTA DE VINOS^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;3103.4400;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;2
^.^;^I^;^01.01^;^CARTA DE VINOS DOC^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;221.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;3
^.^;^I^;^01.03^;^VINOS BLANCOS^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;2.9000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;4
^.^;^I^;^01.03.01^;^VINOS BLANCOS ARGENTINA^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;-41.4600;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;5
^.^;^I^;^01.03.02^;^VINOS BLANCOS CHILE^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;37.4000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;6
^.^;^I^;^01.03.03^;^VINOS BLANCOS ESPAÑA^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;7
^.^;^I^;^01.03.04^;^VINOS BLANCOS FRANCIA^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;8
^.^;^I^;^01.03.05^;^VINOS BLANCOS ITALIA^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;6.9600;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;9
^.^;^I^;^01.04^;^VINOS ROSADOS^;^.^;^.^;^.^;0.0;0.0;0.0;0;^0^;^0^;^0^;^0^;^0^;^0^;1;0.0;0.0;0.0;0.0;0.0;.0000;^998^;0.0;0.0;^.^;^.^;0.0;^.^;0.0;.0000;.0000;0;^.^;^.^;0;0;0.0;0.0;^.^;^.^;^.^;^.^;^Sep 17 2020 12:00AM^;^.^;^.^;0;0;.0000;.0000;^.^;^.^;^.^;0;0;0;^M^;^.^;1;.0000;^.^;0;0;0;^.^;^.^;^.^;0.0;0.0;0.0;0;^.^;10
