Periodo;Item;Grupo_Rol;Cta_Sueldo;Cta_Vacacion;Cta_Quincena;Cta_Horas_Ext;Cta_Ext_Conyugue_P;Cta_Antiguedad;Cta_Diferencia;Cta_IESS_Patronal;Cta_IESS_Personal;Cta_Aporte_Patronal_G;Cta_Decimo_Cuarto_G;Cta_Decimo_Tercer_G;Cta_Fondo_Reserva_G;Cta_Decimo_Cuarto_P;Cta_Decimo_Tercer_P;Cta_Fondo_Reserva_P;Cta_Vacaciones_G;Cta_Vacaciones_P;Cta_Utilidades_G;Cta_Utilidades_P;CodigoU;X;Fecha_Reg;ID
^.^;^000^;^ADM^;^5.3.01.01^;^5.3.03.03^;^0^;^5.3.01.02^;^2.1.09.06^;^0^;^0^;^2.1.09.02^;^2.1.09.01^;^5.3.02.01^;^5.3.03.02^;^5.3.03.01^;^5.3.02.02^;^2.1.10.02^;^2.1.10.01^;^2.1.09.03^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;1
^.^;^000^;^ADMIN^;^5.3.01.01^;^5.3.03.03^;^0^;^5.3.01.02^;^2.1.09.06^;^0^;^0^;^2.1.09.02^;^2.1.09.01^;^5.3.02.01^;^5.3.03.02^;^5.3.03.01^;^5.3.02.02^;^2.1.10.02^;^2.1.10.01^;^2.1.09.03^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;2
^.^;^000^;^ENTR^;^5.3.01.01^;^5.3.03.03^;^0^;^5.3.01.02^;^2.1.09.06^;^0^;^0^;^2.1.09.02^;^2.1.09.01^;^5.3.02.01^;^5.3.03.02^;^5.3.03.01^;^5.3.02.02^;^2.1.10.02^;^2.1.10.01^;^2.1.09.03^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;3
^.^;^000^;^MANT^;^5.3.01.01^;^5.3.03.03^;^0^;^5.3.01.02^;^2.1.09.06^;^0^;^0^;^2.1.09.02^;^2.1.09.01^;^5.3.02.01^;^5.3.03.02^;^5.3.03.01^;^5.3.02.02^;^2.1.10.02^;^2.1.10.01^;^2.1.09.03^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;4
^.^;^000^;^PRIM^;^5.3.01.01^;^5.3.03.03^;^0^;^5.3.01.02^;^2.1.09.06^;^0^;^0^;^2.1.09.02^;^2.1.09.01^;^5.3.02.01^;^5.3.03.02^;^5.3.03.01^;^5.3.02.02^;^2.1.10.02^;^2.1.10.01^;^2.1.09.03^;^0^;^0^;^0^;^0^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;5
^.^;^998^;^APODERADA LEGAL^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.022^;^6.1.01.01.01.026^;^6.1.01.01.01.025^;^6.1.01.01.01.024^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^6.1.01.01.01.014^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;6
^.^;^998^;^ASISTENTE CONTABLE^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.022^;^6.1.01.01.01.026^;^6.1.01.01.01.025^;^6.1.01.01.01.024^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^.^;^.^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;7
^.^;^998^;^ADMINISTRADOR^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.007^;^6.1.01.01.01.011^;^6.1.01.01.01.010^;^6.1.01.01.01.009^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^6.1.01.01.01.001^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;8
^.^;^998^;^ADMINISTRADORA^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.007^;^6.1.01.01.01.011^;^6.1.01.01.01.010^;^6.1.01.01.01.009^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.001^;^2.1.07.02.01.004^;^6.1.01.01.01.001^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;9
^.^;^998^;^ANALISTA DE ADMINISTRACION^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^0^;^0^;^0^;^0^;^0^;^2.1.07.02.01.005^;^2.1.07.02.01.005^;^6.1.01.01.01.022^;^6.1.01.01.01.026^;^6.1.01.01.01.025^;^6.1.01.01.01.024^;^2.1.07.02.01.010^;^2.1.07.02.01.009^;^2.1.07.02.01.008^;^6.1.01.01.01.014^;^2.1.07.02.01.004^;^6.1.01.01.01.014^;^2.1.07.02.01.011^;^0702164179^;^.^;^Jun 15 2020 12:00AM^;10
