X;TC;Codigo;Detalle;Presupuesto;Caja;Item;Periodo;Reembolso;Cta_Reembolso;Nivel;Agrupacion;Fecha_D;Fecha_H;Total;Porc;Bloquear;ID
^.^;^.^;^998ES49^;^TEST5^;0.0;0;^998^;^.^;^.^;^.^;^00^;0;^Dec 22 2023 12:00AM^;^Dec 22 2023 12:00AM^;.0000;0.0;0;1
^.^;^CC^;^00^;^ESTADO DE RESULTADO BATA^;0.0;0;^998^;^.^;^0^;^0^;^00^;1;^Jul 18 2019 12:00AM^;^Jul 18 2019 12:00AM^;.0000;0.0;0;2
^.^;^CC^;^001^;^A) GERENCIA^;0.0;0;^998^;^.^;^0^;^0^;^01^;0;^Jul 18 2019 12:00AM^;^Jul 18 2019 12:00AM^;.0000;0.0;0;3
^.^;^CC^;^004^;^A) ADMINISTRACION^;0.0;0;^998^;^.^;^0^;^0^;^01^;0;^Jul 18 2019 12:00AM^;^Jul 18 2019 12:00AM^;.0000;0.0;0;4
^.^;^CC^;^004^;^B) ADMINISTRACION^;0.0;0;^998^;^.^;^0^;^0^;^01^;0;^Jul 18 2019 12:00AM^;^Dec 31 2050 12:00AM^;.0000;0.0;0;5
^.^;^CC^;^01^;^ESTADO DE RESULTADO ADM^;0.0;0;^998^;^.^;^0^;^0^;^01^;1;^Jul 18 2019 12:00AM^;^Jul 18 2019 12:00AM^;.0000;0.0;0;6
^.^;^CC^;^02^;^ESTADO DE RESULTADO NRSD^;0.0;0;^998^;^.^;^0^;^0^;^02^;1;^Jul 18 2019 12:00AM^;^Jul 18 2019 12:00AM^;.0000;0.0;0;7
^.^;^CC^;^03^;^ESTADO DE RESULTADO IND^;0.0;0;^998^;^.^;^0^;^0^;^03^;1;^Jul 18 2019 12:00AM^;^Jul 18 2019 12:00AM^;.0000;0.0;0;8
^.^;^CC^;^04^;^ESTADO DE RESULTADO REATIL^;0.0;0;^998^;^.^;^0^;^0^;^04^;1;^Jul 18 2019 12:00AM^;^Jul 18 2019 12:00AM^;.0000;0.0;0;9
^.^;^CC^;^04^;^ESTADO DE RESULTADO RETAIL^;0.0;0;^998^;^.^;^0^;^0^;^04^;1;^Jul 18 2019 12:00AM^;^Dec 31 2050 12:00AM^;.0000;0.0;0;10
^.^;^CC^;^600^;^A) JEFE DEC COMPRAS^;0.0;0;^998^;^.^;^0^;^0^;^02^;0;^Jul 18 2019 12:00AM^;^Jul 18 2019 12:00AM^;.0000;0.0;0;11
