Item;Concepto;Numero;Periodo;X;ID
^000^;^Empresas^;1;^^;^X^;104
^000^;^Articulos^;1;^.^;^X^;105
^000^;^Beneficiario^;1;^.^;^X^;106
^000^;^Caja Chica^;1;^.^;^X^;107
^000^;^Egresos^;1;^.^;^X^;108
^000^;^Envio_Benef^;1;^.^;^X^;109
^000^;^Envios^;1;^.^;^X^;110
^000^;^Facturas^;1;^.^;^X^;111
^000^;^FMG^;1;^.^;^X^;112
^000^;^Ingresos^;1;^.^;^X^;113
^000^;^Manifiesto^;1;^.^;^X^;114
^000^;^Nota Ventas^;1;^.^;^X^;115
^000^;^Numero Cuenta^;1;^.^;^X^;116
^000^;^Polizas^;1;^.^;^X^;117
^000^;^Prestamos^;1;^.^;^X^;118
^000^;^Recibo_Ingreso^;1;^.^;^X^;119
^000^;^Remitente^;1;^.^;^X^;120
^000^;^Sitios^;1;^.^;^X^;121
^000^;^Sub Cuenta^;1;^.^;^X^;122
^000^;^Usuarios^;1;^.^;^X^;123
^000^;^Empresas^;1;^.^;^X^;124
^000^;^Asiento^;1;^.^;^X^;125
^000^;^Beneficiarios^;1;^.^;^X^;126
^000^;^Clientes^;1;^.^;^X^;127
^000^;^Diario Caja^;1;^.^;^X^;128
^000^;^Envio_Remit^;1;^.^;^X^;129
^000^;^Factura_No^;1;^.^;^X^;130
^000^;^FamiFactura^;1;^.^;^X^;131
^000^;^Ingreso Caja^;1;^.^;^X^;132
^000^;^Kardex^;1;^.^;^X^;133
^000^;^No_FacturasImp^;1;^.^;^X^;134
^000^;^Nota_No^;1;^.^;^X^;135
^000^;^OrientacionFact^;1;^.^;^X^;136
^000^;^PorCodigo^;1;^.^;^X^;137
^000^;^Recibo_Egreso^;1;^.^;^X^;138
^000^;^Recibo_No^;1;^.^;^X^;139
^000^;^Retencion^;1;^.^;^X^;140
^000^;^Solicitud_No^;1;^.^;^X^;141
^000^;^SubCtas^;1;^.^;^X^;142
^000^;^Vendedor^;1;^.^;^X^;143
^000^;^2.1.02.02^;1;^31/12/2008^;^.^;144
^000^;^2.1.02.03^;1;^31/12/2008^;^.^;145
^000^;^2.1.02.04^;1;^31/12/2008^;^.^;146
^000^;^2.1.03.01^;1;^31/12/2008^;^.^;147
^000^;^2.1.03.02^;1;^31/12/2008^;^.^;148
^000^;^Usuarios^;1;^31/12/2008^;^.^;149
^000^;^PorCodigo^;1;^31/12/2008^;^.^;150
^000^;^Articulos^;1;^31/12/2008^;^.^;151
^000^;^Asiento^;1;^31/12/2008^;^.^;152
^000^;^Diario Caja^;1;^31/12/2008^;^.^;153
^000^;^Empresas^;1;^31/12/2008^;^.^;154
^000^;^Envio_Benef^;1;^31/12/2008^;^.^;155
^000^;^Envio_Remit^;1;^31/12/2008^;^.^;156
^000^;^Envios^;1;^31/12/2008^;^.^;157
^000^;^FMG^;1;^31/12/2008^;^.^;158
^000^;^Manifiesto^;1;^31/12/2008^;^.^;159
^000^;^Polizas^;1;^31/12/2008^;^.^;160
^000^;^Ingreso Caja^;1;^31/12/2008^;^.^;161
^000^;^Kardex^;1;^31/12/2008^;^.^;162
^000^;^Nota Ventas^;1;^31/12/2008^;^.^;163
^000^;^Nota_No^;1;^31/12/2008^;^.^;164
^000^;^Prestamos^;1;^31/12/2008^;^.^;165
^000^;^Recibo_Ingreso^;1;^31/12/2008^;^.^;166
^000^;^Retencion^;1;^31/12/2008^;^.^;167
^000^;^Sitios^;1;^31/12/2008^;^.^;168
^000^;^Sub Cuenta^;1;^31/12/2008^;^.^;169
^000^;^Vendedor^;1;^31/12/2008^;^.^;170
^000^;^No_FacturasImp^;1;^31/12/2008^;^.^;171
^000^;^OrientacionFact^;1;^31/12/2008^;^.^;172
^000^;^Caja Chica^;1;^31/12/2008^;^.^;173
^000^;^Memos^;1;^31/12/2008^;^.^;174
^000^;^Ticket^;1;^31/12/2008^;^.^;175
^000^;^Solicitud_No^;1;^31/12/2008^;^.^;176
^000^;^Certificados^;1;^31/12/2008^;^.^;177
^000^;^Retencion^;1;^31/12/2009^;^.^;178
^000^;^Sitios^;1;^31/12/2009^;^.^;179
^000^;^Sub Cuenta^;1;^31/12/2009^;^.^;180
^000^;^Vendedor^;1;^31/12/2009^;^.^;181
^000^;^No_FacturasImp^;1;^31/12/2009^;^.^;182
^000^;^OrientacionFact^;1;^31/12/2009^;^.^;183
^000^;^Caja Chica^;1;^31/12/2009^;^.^;184
^000^;^Memos^;1;^31/12/2009^;^.^;185
^000^;^Ticket^;1;^31/12/2009^;^.^;186
^000^;^Solicitud_No^;1;^31/12/2009^;^.^;187
^000^;^Certificados^;1;^31/12/2009^;^.^;188
^000^;^Articulos^;1;^31/12/2009^;^.^;189
^000^;^Asiento^;1;^31/12/2009^;^.^;190
^000^;^Diario Caja^;1;^31/12/2009^;^.^;191
^000^;^Empresas^;1;^31/12/2009^;^.^;192
^000^;^Envio_Benef^;1;^31/12/2009^;^.^;193
^000^;^Envio_Remit^;1;^31/12/2009^;^.^;194
^000^;^Envios^;1;^31/12/2009^;^.^;195
^000^;^FMG^;1;^31/12/2009^;^.^;196
^000^;^Ingreso Caja^;1;^31/12/2009^;^.^;197
^000^;^Kardex^;1;^31/12/2009^;^.^;198
^000^;^Nota Ventas^;1;^31/12/2009^;^.^;199
^000^;^Nota_No^;1;^31/12/2009^;^.^;200
^000^;^Prestamos^;1;^31/12/2009^;^.^;201
^000^;^Recibo_Ingreso^;1;^31/12/2009^;^.^;202
^000^;^Manifiesto^;1;^31/12/2009^;^.^;203
^000^;^Polizas^;1;^31/12/2009^;^.^;204
^000^;^2.1.02.02^;1;^31/12/2009^;^.^;205
^000^;^2.1.02.03^;1;^31/12/2009^;^.^;206
^000^;^2.1.02.04^;1;^31/12/2009^;^.^;207
^000^;^2.1.03.01^;1;^31/12/2009^;^.^;208
^000^;^2.1.03.02^;1;^31/12/2009^;^.^;209
^000^;^Usuarios^;1;^31/12/2009^;^.^;210
^000^;^PorCodigo^;1;^31/12/2009^;^.^;211
^000^;^Retencion^;1;^31/12/2010^;^.^;212
^000^;^Sitios^;1;^31/12/2010^;^.^;213
^000^;^Solicitud_No^;1;^31/12/2010^;^.^;214
^000^;^Sub Cuenta^;1;^31/12/2010^;^.^;215
^000^;^Ticket^;1;^31/12/2010^;^.^;216
^000^;^Usuarios^;1;^31/12/2010^;^.^;217
^000^;^Vendedor^;1;^31/12/2010^;^.^;218
^000^;^Articulos^;1;^31/12/2010^;^.^;219
^000^;^Caja Chica^;1;^31/12/2010^;^.^;220
^000^;^2.1.02.02^;1;^31/12/2010^;^.^;221
^000^;^2.1.02.03^;1;^31/12/2010^;^.^;222
^000^;^2.1.03.01^;1;^31/12/2010^;^.^;223
^000^;^2.1.03.02^;1;^31/12/2010^;^.^;224
^000^;^2.1.02.04^;1;^31/12/2010^;^.^;225
^000^;^Asiento^;1;^31/12/2010^;^.^;226
^000^;^FMG^;1;^31/12/2010^;^.^;227
^000^;^Ingreso Caja^;1;^31/12/2010^;^.^;228
^000^;^OrientacionFact^;1;^31/12/2010^;^.^;229
