Periodo;Item;T_No;DC;Detalle;Codigo;Campo;Lst;X;ID
^.^;^.^;5;^D^;^Cta_Caja_BAU^;^1^;^.^;0;^.^;1
^.^;^.^;2;^D^;^Cta_Caja_General^;^1^;^.^;0;^.^;2
^.^;^.^;3;^D^;^Cta_Caja_GME^;^1^;^.^;0;^.^;3
^.^;^.^;4;^D^;^Cta_Caja_GMN^;^1^;^.^;0;^.^;4
^.^;^.^;5;^D^;^Cta_Caja_Vaucher^;^1^;^.^;0;^.^;5
^.^;^.^;30;^D^;^Cta_Cheque_Transito^;^1^;^.^;0;^.^;6
^.^;^.^;36;^B^;^Inv_Promedio^;^1^;^.^;0;^.^;7
^.^;^.^;1;^D^;^Cta_Banco^;^1.1.01.07^;^.^;0;^.^;8
^.^;^.^;12;^D^;^Cta_Diferencial_Cambiario^;^1.1.02.01^;^.^;0;^.^;9
^.^;^.^;15;^D^;^Cta_Gasto_Bancario^;^1.1.02.01^;^.^;0;^.^;10
^.^;^.^;14;^D^;^Cta_Gastos^;^1.1.02.01^;^.^;0;^.^;11
^.^;^.^;30;^D^;^Cta_Utilidad_Perdida^;^1.1.02.01^;^.^;0;^.^;12
^.^;^.^;31;^D^;^Cta_Ventas^;^1.1.02.01^;^.^;0;^.^;13
^.^;^.^;37;^D^;^Cta_Desperdicio^;^1.1.02.03^;^.^;0;^.^;14
^.^;^.^;13;^D^;^Cta_Faltantes^;^1.1.02.03^;^.^;0;^.^;15
^.^;^.^;23;^D^;^Cta_Protestos^;^1.1.02.03^;^.^;0;^.^;16
^.^;^.^;10;^D^;^Cta_CxC^;^1.1.03.01^;^.^;0;^.^;17
^.^;^.^;29;^D^;^Cta_Transito^;^1.1.04.01^;^.^;0;^.^;18
^.^;^.^;39;^D^;^Cta_CxP_Propinas^;^1.1.04.05.01^;^.^;0;^.^;19
^.^;^.^;19;^D^;^Cta_IVA_Inventario^;^1.1.04.05.01^;^.^;0;^.^;20
^.^;^.^;38;^D^;^Cta_Ret_IVA^;^1.1.04.05.01^;^.^;0;^.^;21
^.^;^.^;25;^D^;^Cta_Ret^;^1.1.04.05.02^;^.^;0;^.^;22
^.^;^.^;24;^D^;^Cta_Ret_Ingreso^;^1.1.05.02^;^.^;0;^.^;23
^.^;^.^;28;^D^;^Cta_Suspenso^;^1.9.90.20.35.01^;^.^;0;^.^;24
^.^;^.^;23;^D^;^Cta_Proveedores^;^2^;^.^;0;^.^;25
^.^;^.^;1;^D^;^Cta_Anticipos_Clientes^;^2.1.01.04^;^.^;0;^.^;26
^.^;^.^;18;^D^;^Cta_IVA^;^2.1.01.05.01^;^.^;0;^.^;27
^.^;^.^;25;^D^;^Cta_Ret_1^;^2.1.03.01.01^;^.^;0;^.^;28
^.^;^.^;25;^D^;^Cta_Ret_1.75^;^2.1.03.01.01^;^.^;0;^.^;29
^.^;^.^;25;^D^;^Cta_Ret_2^;^2.1.03.01.02^;^.^;0;^.^;30
