Periodo;Item;TC;Serie;Autorizacion;Fecha_Inicio;Fecha_Final;Formato_Factura;Largo;Ancho;Espacios;Pos_Factura;Fact_Pag;Pos_Y_Fact;Nombre_Establecimiento;Direccion_Establecimiento;Telefono_Estab;Logo_Tipo_Estab;Tipo_Impresion;Cod_CxC;Concepto;X;ID
^.^;^000^;^FA^;^001001^;^1117567480^;^Jan 20 2016 12:00AM^;^Jan 20 2016 12:00AM^;^NINGUNO^;9.6999998;19.0;4.0;0.0;1;0.0;^.^;^.^;^.^;^.^;0;^CXCBAR^;^CxC Bar^;^.^;1
^.^;^000^;^FA^;^001001^;^1234567890^;^Dec 27 2016 12:00AM^;^Dec 27 2016 12:00AM^;^NINGUNO^;9.6999998;19.0;4.0;0.0;1;0.0;^.^;^.^;^.^;^.^;0;^PRIMARIA^;^.^;^.^;2
^.^;^000^;^FA^;^001001^;^1117567480^;^Mar 20 2018 12:00AM^;^Dec 27 2018 12:00AM^;^NINGUNO^;9.6999998;19.0;4.0;0.0;1;0.0;^.^;^.^;^.^;^.^;0;^CXCBAR^;^CxC Bar^;^.^;3
^.^;^000^;^FA^;^001003^;^1115699635^;^Jan  1 2015 12:00AM^;^Jan  1 2016 12:00AM^;^MATRICIA^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^PRIMARIA^;^CxC Pensión Primaria^;^.^;4
^.^;^000^;^FA^;^001003^;^1115699635^;^Mar 20 2018 12:00AM^;^Mar 20 2018 12:00AM^;^MATRICIA^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^CC001003^;^CxC Clientes^;^.^;5
^.^;^000^;^FA^;^001003^;^0702164179001^;^Aug 18 2016 12:00AM^;^Jul 27 2017 12:00AM^;^NINGUNO^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^S001003^;^S001003 F.E. DiskCover^;^.^;6
^.^;^000^;^FA^;^001003^;^0702164179001^;^Jan  1 2020 12:00AM^;^Jan  1 2021 12:00AM^;^NINGUNO^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^S001003^;^S001003 F.E. DiskCover^;^.^;7
^.^;^000^;^FA^;^001003^;^1115699635^;^Oct 11 2016 12:00AM^;^Dec 26 2016 12:00AM^;^NINGUNO^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^S001003^;^S001003 F.E. DiskCover^;^.^;8
^.^;^000^;^FA^;^001003^;^1115699635^;^Jan  1 2017 12:00AM^;^Jan  1 2018 12:00AM^;^MATRICIA^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^CC001003^;^CxC Clientes^;^.^;9
^.^;^000^;^FA^;^001003^;^0702164179001^;^Mar  6 2018 12:00AM^;^Jun 22 2018 12:00AM^;^NINGUNO^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^S001003^;^S001003 F.E. DiskCover^;^.^;10
^.^;^000^;^FA^;^001003^;^0702164179001^;^Dec  8 2018 12:00AM^;^Dec  8 2018 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^S001003 F.^;^.^;^.^;11
^.^;^000^;^FA^;^001003^;^0702164179001^;^Jul 10 2019 12:00AM^;^Oct  9 2019 12:00AM^;^NINGUNO^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^S001003^;^S001003 F.E. DiskCover^;^.^;12
^.^;^000^;^FA^;^001003^;^0702164179001^;^Mar  3 2019 12:00AM^;^Oct 10 2019 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^S001003 F.^;^.^;^.^;13
^.^;^000^;^FA^;^001004^;^0702164179^;^Aug 18 2016 12:00AM^;^Aug 18 2016 12:00AM^;^NINGUNO^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^S001004^;^S001004 DiskCover^;^.^;14
^.^;^000^;^FA^;^001004^;^0702164179001^;^Jan  1 2016 12:00AM^;^Jan  1 2017 12:00AM^;^NINGUNO^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^S001004^;^S001004 DiskCover^;^.^;15
^.^;^000^;^FA^;^001005^;^0990054088001^;^Jan  5 2016 12:00AM^;^Aug  1 2016 12:00AM^;^MATRICIA^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^S001005^;^S001005 F.E.^;^.^;16
^.^;^000^;^FA^;^001006^;^0990054088001^;^Jan  1 2015 12:00AM^;^Jan  1 2016 12:00AM^;^MATRICIA^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^S001006^;^S001006 F.E. Varios^;^.^;17
^.^;^000^;^FA^;^001006^;^0990054088001^;^Jan 14 2016 12:00AM^;^Aug  8 2016 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^N001006^;^.^;^.^;18
^.^;^000^;^GR^;^001003^;^0702164179001^;^Jan  1 2019 12:00AM^;^Jan  1 2020 12:00AM^;^NINGUNO^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^G001003^;^GR001003 F.E. DiskCover^;^.^;19
^.^;^000^;^NC^;^001003^;^0702164179001^;^Jan  1 2019 12:00AM^;^Jan  1 2020 12:00AM^;^NINGUNO^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^N001003^;^NC001003 F.E. DiskCover^;^.^;20
^.^;^000^;^NC^;^001005^;^0990054088001^;^Jan  1 2015 12:00AM^;^Jan  1 2016 12:00AM^;^MATRICIA^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^N001005^;^NC001005 F.E.^;^.^;21
^.^;^000^;^NC^;^001006^;^0990054088001^;^Jan  1 2015 12:00AM^;^Jan  1 2016 12:00AM^;^MATRICIA^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^N001006^;^NC001006 F.E. Varios^;^.^;22
^.^;^000^;^NC^;^001006^;^0990054088001^;^Jan  1 2015 12:00AM^;^Jan  1 2016 12:00AM^;^MATRICIA^;9.6999998;19.0;4.0;0.0;2;0.0;^.^;^.^;^.^;^.^;0;^N001006^;^NC001006 F.E. Varios^;^.^;23
^.^;^998^;^FA^;^000000^;^000000000^;^Sep 20 2022 12:00AM^;^Sep 20 2022 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^S^;^NO PROCESABLE^;^.^;24
^.^;^998^;^FA^;^000000^;^000000000^;^Sep 21 2022 12:00AM^;^Sep 21 2022 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^12345678^;^NO PROCESABLE1^;^.^;25
^.^;^998^;^FA^;^000000^;^000000000^;^Sep 23 2022 12:00AM^;^Sep 23 2022 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^.^;^NO PROCESABLE^;^.^;26
^.^;^998^;^FA^;^001001^;^1117012896^;^Aug  5 2015 12:00AM^;^Jan 13 2016 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^FA^;^.^;^.^;27
^.^;^998^;^FA^;^001001^;^1121193204^;^Oct  2 2017 12:00AM^;^Mar 14 2018 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^FA^;^.^;^.^;28
^.^;^998^;^FA^;^001001^;^1116656121^;^Jun  5 2015 12:00AM^;^Aug  3 2015 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^CXC^;^CxC Clientes^;^.^;29
^.^;^998^;^FA^;^001001^;^1118161281^;^Jan 13 2016 12:00AM^;^Aug  2 2016 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^CXC^;^CxC Clientes^;^.^;30
^.^;^998^;^FA^;^001001^;^1120074858^;^Mar  6 2017 12:00AM^;^Sep  1 2017 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^CXC^;^CxC Clientes^;^.^;31
^.^;^998^;^FA^;^001001^;^1121193204^;^Sep  1 2017 12:00AM^;^Mar 26 2018 12:00AM^;^NINGUNO^;9.3000002;18.0;9.9999998E-3;0.0;3;0.0;^.^;^.^;^.^;^.^;0;^CXC^;^CxC Clientes^;^.^;32
^.^;^998^;^FA^;^001001^;^1109442042^;^Aug  1 2011 12:00AM^;^Nov  7 2011 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXCSPRO^;^.^;^.^;33
^.^;^998^;^FA^;^001001^;^1111151712^;^Aug  1 2012 12:00AM^;^Aug  1 2012 12:00AM^;^.^;0.0;0.0;0.0;0.0;0;0.0;^.^;^.^;^.^;^.^;0;^CXCSPRO^;^.^;^.^;34
