Item;TP;Num;Codigo;Tipo_Objeto;Texto;Pos_Xo;Pos_Yo;Pos_Xf;Pos_Yf;Radio;Color;Vertical;Negrilla;Centrar;Tipo_Letra;Tamaño;X;ID
^000^;^IF^;0;^000^;^TEXTO^;^COLEGIO SANTO DOMINGO^;0.0;0.0;0.0;0.0;0.0;^Negro^;0;0;0;^.^;18.0;^.^;1
^000^;^IF^;1;^001^;^TEXTO^;^DE GUZMAN - GUAYAQUIL^;0.0;0.0;0.0;0.0;0.0;^Negro^;0;0;0;^.^;18.0;^.^;2
^000^;^IF^;2;^002^;^TEXTO^;^ALUMNA:^;1.5;3.5;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;0.0;^.^;3
^000^;^IF^;2;^002^;^TEXTO^;^CLIENTE:^;1.5;3.5;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;4
^000^;^IF^;3;^003^;^TEXTO^;^CODIGO ALUMNA:^;12.5;3.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;12.0;^X^;5
^000^;^IF^;3;^003^;^TEXTO^;^CÓDIGO ALUMNA:^;12.5;3.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;12.0;^.^;6
^000^;^IF^;3;^003^;^TEXTO^;^CËDIGO ALUMNA:^;12.5;3.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;12.0;^X^;7
^000^;^IF^;4;^004^;^TEXTO^;^FECHA EMISION:^;1.5;4.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;8
^000^;^IF^;5;^005^;^TEXTO^;^FECHA VENC.:^;12.5;4.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;9
^000^;^IF^;6;^006^;^TEXTO^;^CLIENTE:^;1.5;4.5;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;0.0;^.^;10
^000^;^IF^;6;^006^;^TEXTO^;^ALUMNA:^;1.5;4.5;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;11
^000^;^IF^;7;^007^;^TEXTO^;^CEDULA/R.U.C.:^;12.5;4.5;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^X^;12
^000^;^IF^;7;^007^;^TEXTO^;^CÉDULA/R.U.C.:^;12.5;4.5;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;13
^000^;^IF^;7;^007^;^TEXTO^;^C+DULA/R.U.C.:^;12.5;4.5;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^X^;14
^000^;^IF^;8;^008^;^TEXTO^;^CURSO:^;1.5;5.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;15
^000^;^IF^;9;^009^;^TEXTO^;^REFERENCIA No^;12.5;5.0;0.0;0.0;0.0;^Negro^;0;0;0;^Courier New^;10.0;^.^;16
