Item;TP;Campo;Encabezado;Pos_X;Pos_Y;Tamaño;X;ID
^000^;^+^;1;^ENCABEZADO DE LA FACTURA^;0.0;0.0;0.0;^.^;1
^000^;^01^;9;^La Suma de (En Numero)^;2.0;2.2999999999999998;0.0;^.^;2
^000^;^01^;1;^Cheque No^;0.0;0.0;0.0;^.^;3
^000^;^01^;2;^Paguese a:^;2.0;1.3999999999999999;0.0;^.^;4
^000^;^01^;3;^La Cantidad de:^;12.5;1.3999999999999999;0.0;^.^;5
^000^;^01^;4;^La Suma de:^;0.0;0.0;0.0;^.^;6
^000^;^01^;5;^Ancho letras Cheque^;13.0;0.90000000000000002;0.0;^.^;7
^000^;^01^;6;^Fecha del Cheque^;1.5;3.7000000000000002;0.0;^.^;8
^000^;^01^;7;^Sin Saltos de Pagina^;1.0;0.90000000000000002;0.0;^.^;9
^000^;^01^;8;^Alto del Cheque^;0.0;7.4000000000000004;0.0;^.^;10
^000^;^01^;10;^Ciudad^;0.5;3.3999999999999999;0.0;^.^;11
^000^;^02^;9;^La Suma de (En Numero)^;2.0;2.3999999999999999;0.0;^.^;12
^000^;^02^;1;^Cheque No^;0.0;0.0;0.0;^.^;13
^000^;^02^;2;^Paguese a:^;2.0;1.5;0.0;^.^;14
^000^;^02^;3;^La Cantidad de:^;12.5;1.5;0.0;^.^;15
^000^;^02^;4;^La Suma de:^;0.0;0.0;0.0;^.^;16
^000^;^02^;5;^Ancho letras Cheque^;13.0;1.0;0.0;^.^;17
^000^;^02^;6;^Fecha del Cheque^;1.5;3.7999999999999998;0.0;^.^;18
^000^;^02^;7;^Sin Saltos de Pagina^;1.0;1.0;0.0;^.^;19
^000^;^02^;8;^Alto del Cheque^;0.0;7.5;0.0;^.^;20
^000^;^02^;10;^Ciudad^;0.5;3.3999999999999999;0.0;^.^;21
^000^;^03^;9;^La Suma de (En Numero)^;2.0;2.3999999999999999;0.0;^.^;22
^000^;^03^;1;^Cheque No^;0.0;0.0;0.0;^.^;23
^000^;^03^;2;^Paguese a:^;2.0;1.5;0.0;^.^;24
^000^;^03^;3;^La Cantidad de:^;12.5;1.5;0.0;^.^;25
^000^;^03^;4;^La Suma de:^;2.0;2.3999999999999999;0.0;^.^;26
^000^;^03^;5;^Ancho letras Cheque^;13.0;1.0;0.0;^.^;27
^000^;^03^;6;^Fecha del Cheque^;1.5;3.7999999999999998;0.0;^.^;28
^000^;^03^;7;^Sin Saltos de Pagina^;1.0;1.0;0.0;^.^;29
^000^;^03^;8;^Alto del Cheque^;0.0;7.5;0.0;^.^;30
^000^;^03^;10;^Ciudad^;0.5;3.3999999999999999;0.0;^.^;31
^000^;^04^;9;^La Suma de (En Numero)^;2.0;2.3999999999999999;0.0;^.^;32
^000^;^04^;1;^Cheque No^;0.0;0.0;0.0;^.^;33
^000^;^04^;2;^Paguese a:^;2.0;1.5;0.0;^.^;34
^000^;^04^;3;^La Cantidad de:^;12.5;1.5;0.0;^.^;35
^000^;^04^;4;^La Suma de:^;2.0;2.3999999999999999;0.0;^.^;36
^000^;^04^;5;^Ancho letras Cheque^;13.0;1.0;0.0;^.^;37
^000^;^04^;6;^Fecha del Cheque^;1.5;3.7999999999999998;0.0;^.^;38
^000^;^04^;7;^Sin Saltos de Pagina^;1.0;1.0;0.0;^.^;39
^000^;^04^;8;^Alto del Cheque^;0.0;7.5;0.0;^.^;40
^000^;^04^;10;^Ciudad^;0.5;3.3999999999999999;0.0;^.^;41
^000^;^05^;9;^La Suma de (En Numero)^;2.0;2.3999999999999999;0.0;^.^;42
