D_R;Codigo;ID
^R^;10;1
^R^;11;2
^R^;12;3
^R^;15;4
^D^;19;5
^R^;20;6
^R^;21;7
^R^;24;8
^D^;28;9
^R^;31;10
^R^;32;11
^D^;37;12
^R^;40;13
^D^;46;14
^R^;47;15
^R^;48;16
^R^;49;17
^R^;50;18
^R^;51;19
^R^;53;20
^R^;54;21
^R^;55;22
^D^;55;23
^R^;56;24
^R^;57;25
^R^;58;26
^R^;59;27
^R^;60;28
^R^;61;29
^D^;64;30
^R^;70;31
^R^;71;32
^R^;72;33
^R^;73;34
^D^;73;35
^R^;74;36
^R^;75;37
^R^;76;38
^R^;77;39
^R^;78;40
^R^;79;41
^R^;80;42
^R^;82;43
^D^;82;44
^R^;90;45
^R^;91;46
^D^;91;47
^R^;92;48
^R^;93;49
^R^;94;50
^D^;109;51
^D^;118;52
^D^;127;53
