Codigo;Descripcion_Rubro;CPais;CRegion;CProvincia;CCiudad;TR;ID
^0^;^ESTADOS UNIDOS^;^001^;^.^;^.^;^.^;^N^;1
^0^;^CANADA^;^002^;^.^;^.^;^.^;^N^;2
^0^;^PUERTO RICO^;^003^;^.^;^.^;^.^;^N^;3
^0^;^REP. DOMINICANA^;^004^;^.^;^.^;^.^;^N^;4
^0^;^JAPON^;^007^;^.^;^.^;^.^;^N^;5
^0^;^KOREA^;^008^;^.^;^.^;^.^;^N^;6
^0^;^EEUU^;^011^;^.^;^.^;^.^;^N^;7
^0^;^HOLANDA^;^031^;^.^;^.^;^.^;^N^;8
^0^;^FRANCIA/MONACO^;^033^;^.^;^.^;^.^;^N^;9
^0^;^ESPA3/4A^;^034^;^.^;^.^;^.^;^N^;10
^0^;^ITALIA^;^039^;^.^;^.^;^.^;^N^;11
^0^;^GRAN BRETAoA^;^044^;^.^;^.^;^.^;^N^;12
^0^;^ALEMANIA^;^049^;^.^;^.^;^.^;^N^;13
^0^;^PERU^;^051^;^.^;^.^;^.^;^N^;14
^0^;^MEXICO^;^052^;^.^;^.^;^.^;^N^;15
^0^;^CUBA^;^053^;^.^;^.^;^.^;^N^;16
^0^;^ARGENTINA^;^054^;^.^;^.^;^.^;^N^;17
^0^;^BRASIL^;^055^;^.^;^.^;^.^;^N^;18
^0^;^CHILE^;^056^;^.^;^.^;^.^;^N^;19
^0^;^COLOMBIA^;^057^;^.^;^.^;^.^;^N^;20
^0^;^VENEZUELA^;^058^;^.^;^.^;^.^;^N^;21
^0^;^PAKISTAN^;^101^;^.^;^.^;^.^;^N^;22
^0^;^COLOMBIA^;^301^;^.^;^.^;^.^;^N^;23
^0^;^GUATEMALA^;^502^;^.^;^.^;^.^;^N^;24
^0^;^EL SALVADOR^;^503^;^.^;^.^;^.^;^N^;25
^0^;^HONDURAS^;^504^;^.^;^.^;^.^;^N^;26
^0^;^NICARAGUA^;^505^;^.^;^.^;^.^;^N^;27
^0^;^COSTA RICA^;^506^;^.^;^.^;^.^;^N^;28
^0^;^PANAMA^;^507^;^.^;^.^;^.^;^N^;29
^0^;^RUSIA^;^577^;^.^;^.^;^.^;^N^;30
^0^;^BOLIVIA^;^591^;^.^;^.^;^.^;^N^;31
^0^;^ECUADOR^;^593^;^.^;^.^;^.^;^N^;32
^0^;^PARAGUAY^;^595^;^.^;^.^;^.^;^N^;33
^0^;^URUGUAY^;^598^;^.^;^.^;^.^;^N^;34
^0^;^CHINA^;^599^;^.^;^.^;^.^;^N^;35
^0^;^HUNGRIA^;^600^;^.^;^.^;^.^;^N^;36
^0^;^PORTUGAL^;^601^;^.^;^.^;^.^;^N^;37
^0^;^SUECIA^;^602^;^.^;^.^;^.^;^N^;38
^0^;^SUIZA^;^603^;^.^;^.^;^.^;^N^;39
^0^;^BELGICA^;^604^;^.^;^.^;^.^;^N^;40
^0^;^SUDAFRICA^;^605^;^.^;^.^;^.^;^N^;41
^0^;^OTRO^;^999^;^.^;^.^;^.^;^N^;42
^1^;^COSTA^;^593^;^1^;^.^;^.^;^R^;43
^107^;^EL ORO^;^593^;^1^;^07^;^.^;^P^;44
^10701^;^MACHALA^;^593^;^1^;^07^;^01^;^C^;45
^10702^;^ARENILLAS^;^593^;^1^;^07^;^02^;^C^;46
^10703^;^ATAHUALPA^;^593^;^1^;^07^;^03^;^C^;47
^10704^;^BALSAS^;^593^;^1^;^07^;^04^;^C^;48
^10705^;^CHILLA^;^593^;^1^;^07^;^05^;^C^;49
^10706^;^EL GUABO^;^593^;^1^;^07^;^06^;^C^;50
^10707^;^HUAQUILLAS^;^593^;^1^;^07^;^07^;^C^;51
^10708^;^MARCABELI^;^593^;^1^;^07^;^08^;^C^;52
^10709^;^PASAJE^;^593^;^1^;^07^;^09^;^C^;53
^10710^;^PINAS^;^593^;^1^;^07^;^10^;^C^;54
^10711^;^PORTOVELO^;^593^;^1^;^07^;^11^;^C^;55
^10712^;^SANTA ROSA^;^593^;^1^;^07^;^12^;^C^;56
^10713^;^ZARUMA^;^593^;^1^;^07^;^13^;^C^;57
^10714^;^LAS LAJAS^;^593^;^1^;^07^;^14^;^C^;58
^108^;^ESMERALDAS^;^593^;^1^;^08^;^.^;^P^;59
