Tipo_Referencia;Codigo;Descripcion;Abreviado;TFA;TPFA;ID
^IDENTIFICACION^;^0^;^No aplica^;^.^;0;0;1
^BANCOS Y COOP^;^0^;^.^;^.^;0;0;2
^FORMA DE PAGO^;^01^;^SIN UTILIZACION DEL SISTEMA FINANCIERO^;^.^;0;0;3
^TARJETAS^;^01^;^AMERICAN EXPRESS^;^.^;0;0;4
^EXPORTACION^;^01^;^Con Refrendo^;^.^;0;0;5
^TIPO DE PAGO^;^01^;^PAGO LOCAL^;^.^;0;0;6
^TRABAJADOR^;^01^;^No aplica^;^.^;0;0;7
^PARENTESCO^;^01^;^Conyuge^;^.^;0;0;8
^TRABAJADOR^;^02^;^Trabajador con discapacidad^;^.^;0;0;9
^PARENTESCO^;^02^;^Hijo[a]^;^.^;0;0;10
^TIPO DE PAGO^;^02^;^PAGO AL EXTERIOR^;^.^;0;0;11
^EXPORTACION^;^02^;^Sin Refrendo^;^.^;0;0;12
^TARJETAS^;^02^;^DINERS CLUB^;^.^;0;0;13
^FORMA DE PAGO^;^02^;^CHEQUE PROPIO^;^.^;0;0;14
^FORMA DE PAGO^;^03^;^CHEQUE CERTIFICADO^;^.^;0;0;15
^TARJETAS^;^03^;^MASTERCARD^;^.^;0;0;16
^PARENTESCO^;^03^;^Madre^;^.^;0;0;17
^TRABAJADOR^;^03^;^Trabajador que actua en calidad de sustituto de una persona con discapacidad^;^.^;0;0;18
^TRABAJADOR^;^04^;^Trabajador tiene conyuge pareja en union de hecho o hijo con discapacidad y se encuentra bajo su cuidado y/o responsabilidad^;^.^;0;0;19
^PARENTESCO^;^04^;^Padre^;^.^;0;0;20
^TARJETAS^;^04^;^VISA^;^.^;0;0;21
^FORMA DE PAGO^;^04^;^CHEQUE DE GERENCIA^;^.^;0;0;22
^FORMA DE PAGO^;^05^;^CHEQUE DEL EXTERIOR^;^.^;0;0;23
^TARJETAS^;^05^;^OTRA TARJETA^;^.^;0;0;24
^PARENTESCO^;^05^;^Padres^;^.^;0;0;25
^PARENTESCO^;^06^;^Abuelo[a]^;^.^;0;0;26
^FORMA DE PAGO^;^06^;^DEBITO DE CUENTA^;^.^;0;0;27
^FORMA DE PAGO^;^07^;^TRANSFERENCIA PROPIO BANCO^;^.^;0;0;28
^PARENTESCO^;^07^;^Hermano[a]^;^.^;0;0;29
^PARENTESCO^;^08^;^Tio[a]^;^.^;0;0;30
^FORMA DE PAGO^;^08^;^TRANSFERENCIA OTRO BANCO NACIONAL^;^.^;0;0;31
^FORMA DE PAGO^;^09^;^TRANSFERENCIA BANCO EXTERIOR^;^.^;0;0;32
^PARENTESCO^;^09^;^Sobrino[a]^;^.^;0;0;33
^BANCOS Y COOP^;^1^;^BCE - SISTEMA DE PAGOS INTERBANCARIO - SPI^;^.^;0;0;34
^PARENTESCO^;^10^;^Primo[a]^;^.^;0;0;35
^FORMA DE PAGO^;^10^;^TARJETA DE CREDITO NACIONAL^;^.^;0;0;36
^BANCOS Y COOP^;^10^;^BANCO PICHINCHA^;^PICHINCHA^;1;1;37
^FORMA DE PAGO^;^11^;^TARJETA DE CREDITO INTERNACIONAL^;^.^;0;0;38
^PARENTESCO^;^11^;^Cunado[a]^;^.^;0;0;39
^BANCOS Y COOP^;^1119^;^COOP. DE AHORRO Y CREDITO ÔONCE DE JUNIOÔ^;^.^;0;0;40
^BANCOS Y COOP^;^1141^;^COOP. DE AHORRO Y CRED. ÔSANTA ROSAÔ LTDA^;^.^;0;0;41
^BANCOS Y COOP^;^1182^;^COOP. DE AHORRO Y CREDITO SAN FRANCISCO DE ASIS LTDA^;^.^;0;0;42
^FORMA DE PAGO^;^12^;^GIRO^;^.^;0;0;43
^PARENTESCO^;^12^;^Compadre^;^.^;0;0;44
^FORMA DE PAGO^;^13^;^DEPOSITO EN CUENTA [CORRIENTE/AHORROS]^;^.^;0;0;45
^PARENTESCO^;^13^;^Comadre^;^.^;0;0;46
^FORMA DE PAGO^;^14^;^ENDOSO DE INVERSI“N^;^.^;0;0;47
