Año;Desde;Hasta;Basico;Excede;ID
^2003^;.0000;6800.0000;.0000;0.0;1
^2003^;6800.0000;13600.0000;.0000;5.0;2
^2003^;13600.0000;27200.0000;340.0000;10.0;3
^2003^;27200.0000;40800.0000;1700.0000;15.0;4
^2003^;40800.0000;54400.0000;3740.0000;20.0;5
^2003^;54400.0000;10000000.0000;5890.0000;25.0;6
^2002^;.0000;6200.0000;.0000;0.0;7
^2002^;6200.0000;12400.0000;.0000;5.0;8
^2002^;12400.0000;24800.0000;310.0000;10.0;9
^2002^;24800.0000;37200.0000;1550.0000;15.0;10
^2002^;37200.0000;49600.0000;3410.0000;20.0;11
^2002^;49600.0000;10000000.0000;5890.0000;25.0;12
^2004^;.0000;7200.0000;.0000;0.0;13
^2004^;28800.0000;43200.0000;1800.0000;15.0;14
^2004^;7200.0000;14400.0000;.0000;5.0;15
^2004^;43200.0000;57600.0000;3960.0000;20.0;16
^2004^;57600.0000;10000000.0000;6840.0000;25.0;17
^2004^;14400.0000;28800.0000;360.0000;10.0;18
^2005^;29600.0000;44100.0000;1850.0000;15.0;19
^2005^;44100.0000;58800.0000;4025.0000;20.0;20
^2005^;7400.0000;14800.0000;.0000;5.0;21
^2005^;58800.0000;10000000.0000;6965.0000;25.0;22
^2005^;14800.0000;29600.0000;370.0000;10.0;23
^2005^;.0000;7400.0000;.0000;0.0;24
^2006^;.0000;7680.0000;.0000;0.0;25
^2006^;7680.0000;15360.0000;.0000;5.0;26
^2006^;15360.0000;30720.0000;384.0000;10.0;27
^2006^;30720.0000;46080.0000;1920.0000;15.0;28
^2006^;46080.0000;61440.0000;4224.0000;20.0;29
^2006^;61440.0000;10000000.0000;7296.0000;25.0;30
^2007^;61440.0000;10000000.0000;7296.0000;25.0;31
^2007^;.0000;7680.0000;.0000;0.0;32
^2007^;7680.0000;15360.0000;.0000;5.0;33
^2007^;15360.0000;30720.0000;384.0000;10.0;34
^2007^;30720.0000;46080.0000;1920.0000;15.0;35
^2007^;46080.0000;61440.0000;4224.0000;20.0;36
^2008^;60000.0000;80000.0000;9658.0000;30.0;37
^2008^;45000.0000;60000.0000;5908.0000;25.0;38
^2008^;30000.0000;45000.0000;2908.0000;20.0;39
^2008^;15000.0000;30000.0000;658.0000;15.0;40
^2008^;12500.0000;15000.0000;358.0000;12.0;41
^2008^;10000.0000;12500.0000;108.0000;10.0;42
^2008^;7850.0000;10000.0000;.0000;5.0;43
^2008^;.0000;7850.0000;.0000;0.0;44
^2008^;80000.0000;10000000.0000;15658.0000;35.0;45
^2009^;.0000;8570.0000;.0000;0.0;46
^2009^;8570.0000;10910.0000;.0000;5.0;47
^2009^;10910.0000;13640.0000;117.0000;10.0;48
^2009^;13640.0000;16370.0000;390.0000;12.0;49
^2009^;16370.0000;32740.0000;718.0000;15.0;50
^2009^;32740.0000;49110.0000;3173.0000;20.0;51
^2009^;49110.0000;65480.0000;6447.0000;25.0;52
^2009^;65480.0000;87300.0000;10540.0000;30.0;53
^2009^;87300.0000;10000000.0000;17086.0000;35.0;54
^2010^;.0000;8910.0000;.0000;0.0;55
^2010^;8910.0000;11350.0000;.0000;5.0;56
^2010^;11350.0000;14190.0000;122.0000;10.0;57
^2010^;14190.0000;17030.0000;406.0000;12.0;58
^2010^;17030.0000;34060.0000;747.0000;15.0;59
^2010^;34060.0000;51080.0000;3301.0000;20.0;60
^2010^;51080.0000;68110.0000;6705.0000;25.0;61
^2010^;68110.0000;90810.0000;10963.0000;30.0;62
^2010^;90810.0000;10000000.0000;17773.0000;35.0;63
^2011^;.0000;9210.0000;.0000;0.0;64
^2011^;9210.0000;11730.0000;.0000;5.0;65
^2011^;11730.0000;14670.0000;126.0000;10.0;66
^2011^;14670.0000;17610.0000;420.0000;12.0;67
^2011^;17610.0000;35210.0000;773.0000;15.0;68
