Identificacion;Tipo_Comprobante_Codigo;Tipo_Trans;ID
^R^;4;^V^;1
^R^;5;^V^;2
^R^;18;^V^;3
^R^;41;^V^;4
^R^;42;^V^;5
^C^;4;^V^;6
^C^;5;^V^;7
^C^;18;^V^;8
^C^;44;^V^;9
^C^;41;^V^;10
^P^;4;^V^;11
^P^;5;^V^;12
^P^;18;^V^;13
^P^;41;^V^;14
^F^;4;^V^;15
^F^;5;^V^;16
^F^;18;^V^;17
^00^;1;^C^;18
^00^;4;^C^;19
^00^;5;^C^;20
^00^;2;^C^;21
^01^;1;^C^;22
^01^;3;^C^;23
^01^;4;^C^;24
^01^;5;^C^;25
^01^;11;^C^;26
^01^;12;^C^;27
^01^;21;^C^;28
^01^;43;^C^;29
^02^;1;^C^;30
^02^;2;^C^;31
^02^;3;^C^;32
^02^;4;^C^;33
^02^;5;^C^;34
^02^;11;^C^;35
^02^;12;^C^;36
^02^;19;^C^;37
^02^;20;^C^;38
^02^;21;^C^;39
^02^;41;^C^;40
^02^;43;^C^;41
^03^;1;^C^;42
^03^;3;^C^;43
^03^;4;^C^;44
^03^;5;^C^;45
^04^;1;^C^;46
^04^;2;^C^;47
^04^;3;^C^;48
^04^;4;^C^;49
^04^;5;^C^;50
^04^;41;^C^;51
^05^;1;^C^;52
^05^;2;^C^;53
^05^;3;^C^;54
^05^;4;^C^;55
^05^;5;^C^;56
^05^;11;^C^;57
^05^;12;^C^;58
^05^;19;^C^;59
^05^;20;^C^;60
^05^;41;^C^;61
^06^;1;^C^;62
^06^;3;^C^;63
^06^;4;^C^;64
^06^;5;^C^;65
^06^;43;^C^;66
^07^;1;^C^;67
^07^;2;^C^;68
^07^;3;^C^;69
^07^;4;^C^;70
^07^;5;^C^;71
^07^;41;^C^;72
^07^;43;^C^;73
^08^;1;^C^;74
^08^;2;^C^;75
^09^;1;^C^;76
^09^;2;^C^;77
^09^;4;^C^;78
^09^;5;^C^;79
^08^;3;^C^;80
^09^;41;^C^;81
^08^;4;^C^;82
^08^;5;^C^;83
^08^;21;^C^;84
^09^;44;^C^;85
^00^;4;^I^;86
^00^;5;^I^;87
^01^;4;^I^;88
^01^;17;^I^;89
^01^;21;^I^;90
^02^;4;^I^;91
^02^;5;^I^;92
^02^;15;^I^;93
^03^;4;^I^;94
^03^;5;^I^;95
^03^;17;^I^;96
^04^;4;^I^;97
^04^;5;^I^;98
^04^;15;^I^;99
^04^;17;^I^;100
^04^;41;^I^;101
^05^;4;^I^;102
^05^;5;^I^;103
^05^;15;^I^;104
^05^;17;^I^;105
^05^;41;^I^;106
^06^;4;^I^;107
^06^;5;^I^;108
^06^;17;^I^;109
^07^;4;^I^;110
^07^;5;^I^;111
^07^;15;^I^;112
^07^;17;^I^;113
^07^;41;^I^;114
^08^;4;^I^;115
^08^;5;^I^;116
^08^;17;^I^;117
^08^;21;^I^;118
^08^;41;^I^;119
^09^;4;^I^;120
^09^;5;^I^;121
^09^;41;^I^;122
^02^;17;^I^;123
^02^;21;^I^;124
^02^;41;^I^;125
^R^;44;^V^;126
^P^;44;^V^;127
