Codigo;Concepto;Porcentaje;Ingresar_Porcentaje;Fecha_Inicio;Fecha_Final;T;Tipo_Pago;ID
^308^;^Pagos por Rendimientos Financieros^;5.0;^N^;^Jan  1 2002 12:00AM^;^Mar 31 2004 12:00AM^;^N^;^L^;1
^318^;^Remuneraciones a Deportistas Entrenadores Cuerpo Tecnico y Arbitros^;5.0;^S^;^Jan  1 2002 12:00AM^;^Mar 31 2004 12:00AM^;^N^;^L^;2
^323^;^Transacciones de Bienes [Activos Fijos]^;1.0;^N^;^Jan  1 2002 12:00AM^;^Mar 31 2004 12:00AM^;^N^;^L^;3
^325^;^Transacciones de Bienes [Activos Corrientes]^;1.0;^N^;^Jan  1 2002 12:00AM^;^Mar 31 2004 12:00AM^;^N^;^L^;4
^327^;^Transacciones de Servicios^;1.0;^S^;^Jan  1 2002 12:00AM^;^Mar 31 2004 12:00AM^;^N^;^L^;5
^411^;^Intereses y Comisiones en Operaciones de Credito^;1.0;^N^;^Jan  1 2002 12:00AM^;^Mar 31 2004 12:00AM^;^N^;^L^;6
^419^;^Arrendamiento Mercantil Internacional por Pago de Intereses^;25.0;^N^;^Jan  1 2002 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;7
^421^;^Arrendamiento Mercantil Internacional cuando no se ejerce la opcion de Compra^;25.0;^N^;^Jan  1 2002 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;8
^307^;^Pagos Por Seguros y Reaseguros^;1.0;^N^;^Feb  1 2002 12:00AM^;^Feb 28 2003 12:00AM^;^N^;^L^;9
^302^;^Honorarios Personas Naturales^;8.0;^N^;^Mar  1 2003 12:00AM^;^Mar 31 2003 12:00AM^;^N^;^L^;10
^306^;^Arrendamiento de Bienes Inmuebles de Propiedad de Personas Naturales^;8.0;^N^;^Mar  1 2003 12:00AM^;^Mar 31 2003 12:00AM^;^N^;^L^;11
^307^;^Pagos Por Seguros y Reaseguros^;1.0;^N^;^Mar  1 2003 12:00AM^;^Mar 31 2003 12:00AM^;^N^;^L^;12
^337^;^Pagos realizados a Notarios y Registradores de Propiedad o Mercantiles^;8.0;^N^;^Mar  1 2003 12:00AM^;^Mar 31 2004 12:00AM^;^N^;^L^;13
^339^;^Pagos de Dividendos Anticipados^;25.0;^N^;^Mar  1 2003 12:00AM^;^Mar 31 2004 12:00AM^;^N^;^L^;14
^303^;^Honorarios Personas Naturales^;8.0;^N^;^Apr  1 2003 12:00AM^;^Dec 31 2006 12:00AM^;^N^;^L^;15
^304^;^Remuneracion a Otros Trabajadores Autonomos [N]^;1.0;^N^;^Apr  1 2003 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;16
^306^;^Compras Locales de Materia Prima [N]^;1.0;^N^;^Apr  1 2003 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;17
^307^;^Compras Locales de Bienes No Producidos por la Sociedad [N]^;1.0;^N^;^Apr  1 2003 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;18
^309^;^Suministros y Materiales [N]^;1.0;^N^;^Apr  1 2003 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;19
^310^;^Repuestos y Herramientas [N]^;1.0;^N^;^Apr  1 2003 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;20
^311^;^Lubricantes [N]^;1.0;^N^;^Apr  1 2003 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;21
^312^;^Activos Fijos [N]^;1.0;^N^;^Apr  1 2003 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;22
^313^;^Por Concepto de Servicio de Transporte Privado de Pasajeros o Servicio Publico o Privado de Carga[N]^;1.0;^N^;^Apr  1 2003 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;23
^314^;^Regalias Derechos de Autor Marcas Patentes y Similares^;0.0;^N^;^Apr  1 2003 12:00AM^;^Mar 30 2004 12:00AM^;^N^;^L^;24
^405^;^Intereses de Creditos Externos registrados en el BCE [N]^;25.0;^N^;^Apr  1 2003 12:00AM^;^Mar 31 2008 12:00AM^;^S^;^L^;25
^305^;^Pago Local a Extranjeros por Servicios Ocasionales^;25.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^S^;^L^;26
^308^;^Compras Locales de Materia Prima no Sujeta a retencion [N]^;0.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;27
^314^;^Regalias Derechos de Autor Marcas Patentes y Similares - Sociedades^;1.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^S^;^L^;28
^314^;^Regalias Derechos de Autor Marcas Patentes y Similares - Personas Naturales^;8.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;29
^315^;^Remuneraciones a Deportistas Entrenadores Cuerpo Tecnico y Arbitros^;5.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;30
^316^;^Pagos realizados a Notarios y Registradores de Propiedad o Mercantiles^;8.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;31
^317^;^Por Comisiones Pagadas a Sociedades [N]^;1.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;32
^318^;^Por Promocion y Publicidad [N]^;1.0;^S^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;33
^319^;^Pagos por Arrendamientos Mercantil^;1.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;34
^320^;^Arrendamiento de Bienes Inmuebles de Propiedad de Personas Naturales^;8.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2006 12:00AM^;^N^;^L^;35
^321^;^Arrendamiento de Bienes Inmuebles de Propiedad de Sociedades [N]^;5.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;36
^322^;^Pagos por Seguros y Reaseguros [10% del valor de las primas facturadas]^;1.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;37
^323^;^Pagos por Rendimientos Financieros^;5.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;38
^323A^;^RF: Depositos Cuenta Corriente^;5.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;39
^323B1^;^RF: Depositos Cuenta Ahorros Sociedades^;5.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^S^;^L^;40
^323B2^;^RF: Depositos Cuenta Ahorros Persona Natural^;0.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;41
^323C^;^RF: Depositos en Cuentas Corrientes Exentas^;0.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;42
^323D^;^RF: Compra Cancelacion o Redencion de Mini Bems y Bems 5^;5.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;43
^323E^;^RF: Deposito a Plazo^;5.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;44
^323F^;^RF: Operaciones de Reporto - REPOS^;5.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;45
^323G^;^RF: Inversiones [Captaciones]^;5.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;46
^323H^;^RF: Obligaciones^;5.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;47
^323I^;^RF: Bonos Convertible en Acciones^;5.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;48
^323J^;^RF: Bonos de Organismos y Gobiernos extranjeros^;5.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;49
^323K^;^RF: Bonos de Organismos y Gobiernos extranjeros^;5.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;50
^324^;^Pagos o Creditos en Cuenta Real. Empresas Emis. Tarjetas de Credito^;1.0;^N^;^Apr  1 2004 12:00AM^;^Jun 30 2007 12:00AM^;^N^;^L^;51
^325^;^Loterias Rifas Apuestas y Similares^;15.0;^N^;^Apr  1 2004 12:00AM^;^Dec 31 2008 12:00AM^;^N^;^L^;52
