Codigo;Detalle;Cod;Pos;Numero;BaseImponible;Basecero;Item;Valor_IVA;Año;Casilleros;ID
^01^;^Compras Netas 12% Sustento de credito tributario correspondiente a los codigos 13 y 6^;^TC^;1;0;.0000;.0000;^000^;.0000;^2007^;^631+633+635^;1
^01^;^Fondos de Inversion^;^TF^;1;0;.0000;.0000;^000^;.0000;^2007^;^.^;2
^01^;^Factura^;^C^;1;0;.0000;.0000;^000^;.0000;^2005^;^.^;3
^01^;^Exportaciones Netas^;^ET^;1;0;.0000;.0000;^000^;.0000;^2007^;^511^;4
^01^;^VENTA Retencion en Bienes^;^TB^;1;0;.0000;.0000;^000^;.0000;^2007^;^30%^;5
^01^;^COMPRA Retencion en Bienes^;^TA^;1;0;.0000;.0000;^000^;.0000;^2006^;^30%^;6
^01^;^VENTA Retencion en Bienes^;^TB^;1;0;.0000;.0000;^000^;.0000;^2006^;^30%^;7
^01^;^Fondos de Inversion^;^TF^;1;0;.0000;.0000;^000^;.0000;^2006^;^.^;8
^01^;^Factura^;^C^;1;0;.0000;.0000;^000^;.0000;^2006^;^.^;9
^01^;^Exportaciones Netas^;^ET^;1;0;.0000;.0000;^000^;.0000;^2006^;^511^;10
^01^;^Compras Netas 12% Sustento de credito tributario correspondiente a los codigos 13 y 6^;^TC^;1;0;.0000;.0000;^000^;.0000;^2006^;^631+633+635^;11
^01^;^Importaciones Netas 12 % sustento de credito tributario corresponde a los codigos 13 y 6^;^IT^;1;0;.0000;.0000;^000^;.0000;^2006^;^639+643^;12
^01^;^Ventas Netas Base Imponible 12 %^;^TV^;1;0;.0000;.0000;^000^;.0000;^2006^;^531+533+535+537^;13
^01^;^DINERS CLUB^;^TJ^;1;0;.0000;.0000;^000^;.0000;^2006^;^.^;14
^01^;^COMPRA Retencion en Bienes^;^TA^;1;0;.0000;.0000;^000^;.0000;^2007^;^30%^;15
^01^;^Ventas Netas Base Imponible 12 %^;^TV^;1;0;.0000;.0000;^000^;.0000;^2007^;^531+533+535+537^;16
^01^;^Factura^;^C^;1;0;.0000;.0000;^000^;.0000;^2007^;^.^;17
