Codigo;Tipo_Ret;Base_Imp;Retencion;Item;Año;ID
^302^;^Honorarios y dietas a personas naturales^;.0000;.0000;^000^;^2001^;1
^302^;^Honorarios y dietas a personas naturales^;.0000;.0000;^000^;^2004^;2
^302^;^Honorarios y dietas a personas naturales^;.0000;.0000;^000^;^2002^;3
^302^;^Honorarios y dietas a personas naturales^;.0000;.0000;^000^;^2003^;4
^302^;^Honorarios y dietas a personas naturales^;.0000;.0000;^000^;^2005^;5
^302^;^Honorarios y dietas a personas naturales^;.0000;.0000;^000^;^2000^;6
^303^;^Pago local a extranjeros por servicios ocasionales^;.0000;.0000;^000^;^2000^;7
^303^;^Pago local a extranjeros por servicios ocasionales^;.0000;.0000;^000^;^2005^;8
^303^;^Pago local a extranjeros por servicios ocasionales^;.0000;.0000;^000^;^2003^;9
^303^;^Pago local a extranjeros por servicios ocasionales^;.0000;.0000;^000^;^2002^;10
^303^;^Pago local a extranjeros por servicios ocasionales^;.0000;.0000;^000^;^2004^;11
^303^;^Honorarios comisiones y dietas a personas naturales^;.0000;.0000;^000^;^2006^;12
^303^;^Pago local a extranjeros por servicios ocasionales^;.0000;.0000;^000^;^2001^;13
^303^;^Honorarios comisiones y dietas a personas naturales^;.0000;.0000;^000^;^2007^;14
^304^;^Remuneracion a otros trabajadores autonomos^;.0000;.0000;^000^;^2007^;15
^304^;^Por loterias rifas y apuestas similares^;.0000;.0000;^000^;^2001^;16
^304^;^Remuneracion a otros trabajadores autonomos^;.0000;.0000;^000^;^2006^;17
^304^;^Por loterias rifas y apuestas similares^;.0000;.0000;^000^;^2004^;18
^304^;^Por loterias rifas y apuestas similares^;.0000;.0000;^000^;^2002^;19
^304^;^Por loterias rifas y apuestas similares^;.0000;.0000;^000^;^2003^;20
^304^;^Por loterias rifas y apuestas similares^;.0000;.0000;^000^;^2005^;21
^304^;^Por loterias rifas y apuestas similares^;.0000;.0000;^000^;^2000^;22
^305^;^Por arrendamiento mercantil^;.0000;.0000;^000^;^2000^;23
^305^;^Por arrendamiento mercantil^;.0000;.0000;^000^;^2005^;24
^305^;^Por arrendamiento mercantil^;.0000;.0000;^000^;^2003^;25
^305^;^Por arrendamiento mercantil^;.0000;.0000;^000^;^2002^;26
^305^;^Por arrendamiento mercantil^;.0000;.0000;^000^;^2004^;27
^305^;^Honorarios a extranjeros por servicios ocasionales^;.0000;.0000;^000^;^2006^;28
^305^;^Por arrendamiento mercantil^;.0000;.0000;^000^;^2001^;29
^305^;^Honorarios a extranjeros por servicios ocasionales^;.0000;.0000;^000^;^2007^;30
^306^;^Por arrendamiento de bienes inmuebles de propiedad a personas naturales^;.0000;.0000;^000^;^2001^;31
^306^;^Por compras locales de materia prima^;.0000;.0000;^000^;^2007^;32
^306^;^Por arrendamiento de bienes inmuebles de propiedad a personas naturales^;.0000;.0000;^000^;^2004^;33
^306^;^Por compras locales de materia prima^;.0000;.0000;^000^;^2006^;34
^306^;^Por arrendamiento de bienes inmuebles de propiedad a personas naturales^;.0000;.0000;^000^;^2002^;35
^306^;^Por arrendamiento de bienes inmuebles de propiedad a personas naturales^;.0000;.0000;^000^;^2003^;36
^306^;^Por arrendamiento de bienes inmuebles de propiedad a personas naturales^;.0000;.0000;^000^;^2005^;37
^306^;^Por arrendamiento de bienes inmuebles de propiedad a personas naturales^;.0000;.0000;^000^;^2000^;38
^307^;^Por seguros y reaseguros^;.0000;.0000;^000^;^2000^;39
^307^;^Por seguros y reaseguros^;.0000;.0000;^000^;^2005^;40
^307^;^Por seguros y reaseguros^;.0000;.0000;^000^;^2003^;41
^307^;^Por seguros y reaseguros^;.0000;.0000;^000^;^2002^;42
